sn	zhel	zcmb	st	est	Mmax	eMmax	t0	EBVmw	eEBVmw	covMs	BV	eBV	covBV_M	ml	m	mu	host	dist	edist	caltype
SN2009ag	0.0086333	0.0092477	0.966	0.005	14.609	0.011	-1.5	0.218	0.0218	4.109E-06	0.149	0.014	0.000121	9.99	10.2	10.6	-1.0	-1.0	-1.0	none
SN2009al	0.02209	0.0232764	0.92	0.013	16.246	0.022	-3.4	0.0212	0.0021	5.282E-05	0.186	0.028	0.000484	10.66	10.72	10.77	-1.0	-1.0	-1.0	none
SN2009cz	0.0211233	0.0219786	1.173	0.011	15.7	0.008	-5.9	0.0221	0.0022	-1.703E-06	0.017	0.011	6.4E-05	10.68	10.75	10.84	-1.0	-1.0	-1.0	none
SN2009ds	0.0192467	0.0204662	1.121	0.015	15.482	0.009	-8.7	0.0332	0.0033	4.033E-06	0.107	0.013	8.1E-05	10.62	10.77	10.97	-1.0	-1.0	-1.0	none
SN2009le	0.0177733	0.017027	1.087	0.011	15.346	0.006	-10.1	0.0143	0.0014	9.491E-06	0.122	0.008	3.6E-05	10.66	10.84	11.31	-1.0	-1.0	-1.0	none
SN1981D	0.005871	0.0055142	0.852	0.041	12.486	0.048	0	0	0	0	0.159	0.066	0	0.032	11.514	0.032	NGC1316	31.59	0.05	s
SN1997E	0.01354	0.01354	0.795	0.012	15.171	0.009	0	0	0	0	0.089	0.011	0	0.069	11.199	0.069	NGC2258	33.5	0.15	s
SN2012fr	0.0054533	0.0051291	1.231	0.006	12.0	0.006	0	0	0	0	0.032	0.007	0	0.048	11.022	0.048	NGC1365	31.51	0.03	s
SN1981B	0.006027	0.0071693	0.639	0.038	11.863	0.016	0	0	0	0	0.075	0.026	0	0.025	10.349	0.025	NGC4536	31.09	0.05	s
SN2003hv	0.00562	0.00562	0.764	0.02	12.455	0.049	0	0	0	0	-0.089	0.061	0	0.064	10.565	0.064	NGC1201	31.566	0.304	s
SN1970J	0.01255	0.01255	0.916	0.029	14.865	0.037	0	0	0	0	0.246	0.052	0	0.073	11.34	0.073	NGC7619	33.582	0.151	s
SN2017fgc	0.00772	0.00772	0.957	0.018	13.619	0.019	0	0	0	0	0.274	0.024	0	0.061	10.568	0.061	NGC0474	32.536	0.133	s
SN2006dd	0.005867	0.0055089	0.95	0.003	12.27	0.003	0	0	0	0	-0.017	0.004	0	0.032	11.514	0.032	NGC1316	31.59	0.05	s
SN1991T	0.00579	0.00579	1.189	0.01	11.587	0.007	0	0	0	0	0.185	0.009	0	0.042	10.488	0.042	NGC4527	31.09	0.05	s
SN2007on	0.00649	0.0061833	0.566	0.005	13.046	0.004	0	0	0	0	0.115	0.006	0	0.035	10.932	0.035	NGC1404	31.526	0.072	s
SN1998bp	0.01043	0.00559	0.597	0.025	15.368	0.013	0	0	0	0	0.297	0.019	0	0.069	10.462	0.069	NGC6495	33.1	0.15	s
SN2011iv	0.00649	0.0061827	0.652	0.014	12.446	0.008	0	0	0	0	0.057	0.012	0	0.035	10.932	0.035	NGC1404	31.526	0.072	s
SN1992A	0.00626	0.00626	0.777	0.006	12.53	0.004	0	0	0	0	0.03	0.006	0	0.032	10.931	0.032	NGC1380	31.632	0.075	s
SN1992bo	0.01898	0.01898	0.712	0.013	15.758	0.013	0	0	0	0	0.012	0.017	0	0.071	10.395	0.071	E352-057	34.27	0.15	s
SN2014bv	0.00559	0.00559	0.64	0.021	13.999	0.018	0	0	0	0	0.19	0.022	0	0.064	10.48	0.064	NGC4386	32.19	0.494	s
SN2012cg	0.001458	0.0025798	1.101	0.019	12.116	0.008	0	0	0	0	0.186	0.011	0	0.083	9.706	0.083	NGC4424	31.02	0.18	s
SN2008Q	0.00802	0.00802	0.804	0.022	13.459	0.014	0	0	0	0	-0.053	0.017	0	0.09	10.929	0.09	NGC524	31.922	0.212	s
SN1995D	0.00656	0.00656	1.256	0.025	13.379	0.033	0	0	0	0	0.126	0.036	0	0.069	10.597	0.069	NGC2962	32.6	0.15	s
SN2018aoz	0.00580	0.00580	0.841	0.007	12.515	0.009	0	0	0	0	-0.075	0.012	0	0.065	11.204	0.065	NGC3923	31.795	0.101	s
SN2016coj	0.00452	0.00452	0.891	0.011	13.205	0.021	0	0	0	0	0.227	0.025	0	0.064	11.083	0.064	NGC4125	31.922	0.258	s
SN1983G	0.00388	0.00388	1.189	0.059	12.789	0.102	0	0	0	0	0.175	0.124	0	0.064	11.148	0.064	NGC4753	31.92	0.197	s
SN1996X	0.00694	0.00694	0.893	0.022	13.075	0.024	0	0	0	0	-0.006	0.029	0	0.086	11.057	0.086	NGC5061	32.26	0.19	s
SN1980N	0.005871	0.0055142	0.848	0.011	12.459	0.011	0	0	0	0	0.125	0.016	0	0.032	11.514	0.032	NGC1316	31.59	0.05	s
SN2015bp	0.00407	0.00407	0.681	0.018	13.697	0.014	0	0	0	0	0.033	0.021	0	0.137	9.979	0.137	NGC5839	31.737	0.315	s
SN2000cx	0.00802	0.00802	0.907	0.006	13.134	0.007	0	0	0	0	0.065	0.009	0	0.09	10.929	0.09	NGC524	31.922	0.212	s
SN1994D	0.00149	0.0026093	0.784	0.006	11.769	0.007	0	0	0	0	-0.058	0.009	0	0.055	10.996	0.055	NGC4526	31.32	0.12	s
