\begin{table}
\begin{tabular}{cccccccccccccc}
$Name$ & $z_{cmb}$ & $z_{zhel}$ & $B_{max}$ & $eB_{max}$ & $s_{BV}$ & $es_{BV}$ & $B-V$ & $eB-V$ & $cov_{ms}$ & $cov_{mbv}$ & $M_{host}$ & $Sample$ & $Subclass$ \\
SN2007ux & 0.032 & 0.03089 & 18.203 & 0.021 & 0.624 & 0.006 & 0.213 & 0.01 & -5e-05 & 0.0 & 10.3 & CSPI & Ia-86G \\
SN2008C & 0.0171 & 0.01661 & 16.255 & 0.099 & 0.969 & 0.024 & 0.165 & 0.0744 & -0.00013 & 0.0 & 10.49 & CSPI & Ia \\
SN2008O & 0.0393 & 0.03883 & 19.306 & 0.04 & 0.683 & 0.01 & 0.314 & 0.0164 & -3e-05 & 0.0 & 11.33 & CSPI & Ia \\
SN2008R & 0.0129 & 0.01349 & 15.87 & 0.013 & 0.633 & 0.006 & 0.12 & 0.01063 & -1e-05 & 0.0 & 11.25 & CSPI & Ia \\
SN2008ar & 0.0272 & 0.02613 & 16.748 & 0.016 & 0.975 & 0.004 & 0.009 & 0.0114 & 2e-05 & 0.0 & 10.21 & CSPI & Ia \\
SN2008bc & 0.0157 & 0.01508 & 15.153 & 0.005 & 1.058 & 0.005 & -0.028 & 0.00566 & 1e-05 & 0.0 & 10.1 & CSPI & Ia \\
SN2008bf & 0.0246 & 0.02348 & 16.053 & 0.007 & 1.019 & 0.004 & -0.046 & 0.0064 & 1e-05 & 0.0 & 11.4 & CSPI & Ia \\
SN2008bi & 0.0144 & 0.01344 & 18.378 & 0.154 & 0.512 & 0.023 & 0.579 & 0.12925 & -3e-05 & 0.0 & 10.38 & CSPI & Ia-91bg \\
SN2008bq & 0.0344 & 0.03398 & 17.249 & 0.012 & 1.146 & 0.009 & 0.045 & 0.00922 & -4e-05 & 0.0 & 10.82 & CSPI & Ia \\
SN2008bt & 0.0166 & 0.01535 & 17.905 & 0.021 & 0.492 & 0.008 & 0.525 & 0.01345 & -0.0 & 0.0 & 10.85 & CSPI & Ia-91bg \\
