\begin{table}
\begin{tabular}{cccccccccccccc}
$Name$ & $z_{cmb}$ & $z_{zhel}$ & $B_{max}$ & $eB_{max}$ & $s_{BV}$ & $es_{BV}$ & $B-V$ & $eB-V$ & $cov_{ms}$ & $cov_{mbv}$ & $M_{host}$ & $Sample$ & $Subclass$ \\
LSQ14foj & 0.0452 & 0.04607 & 17.968 & 0.014 & 1.012 & 0.01 & 0.05 & 0.01063 & 2e-05 & 0.0 & 8.44 & CSPII & Ia \\
LSQ14fom & 0.0553 & 0.05626 & 18.359 & 0.015 & 0.947 & 0.009 & 0.023 & 0.01131 & 1e-05 & 0.0 & 9.54 & CSPII & Ia \\
LSQ14gfb & 0.0528 & 0.05271 & 19.118 & 0.082 & 0.586 & 0.033 & 0.53 & 0.06227 & -0.00034 & 0.0 & 10.3 & CSPII & Ia \\
LSQ14gfn & 0.1211 & 0.12162 & 20.164 & 0.034 & 1.073 & 0.091 & 0.051 & 0.03202 & -0.00017 & 0.0 & 10.54 & CSPII & Ia \\
LSQ14ghv & 0.0663 & 0.06665 & 19.045 & 0.015 & 0.968 & 0.009 & -0.016 & 0.0114 & -3e-05 & 0.0 & 10.18 & CSPII & Ia \\
LSQ14gov & 0.0892 & 0.08954 & 19.384 & 0.009 & 1.052 & 0.011 & -0.104 & 0.00781 & 1e-05 & 0.0 & 9.02 & CSPII & Ia \\
LSQ14ie & 0.0905 & 0.08954 & 19.584 & 0.015 & 1.162 & 0.011 & -0.01 & 0.01204 & 5e-05 & 0.0 & 8.08 & CSPII & Ia \\
LSQ14ip & 0.0624 & 0.0613 & 19.343 & 0.02 & 0.509 & 0.01 & 0.338 & 0.0228 & 5e-05 & 0.0 & 10.18 & CSPII & Ia \\
LSQ14jp & 0.0465 & 0.04539 & 18.415 & 0.012 & 0.675 & 0.007 & 0.123 & 0.01 & -2e-05 & 0.0 & 10.54 & CSPII & Ia \\
LSQ14mc & 0.0576 & 0.05662 & 18.517 & 0.008 & 0.963 & 0.004 & -0.027 & 0.0064 & 0.0 & 0.0 & 9.17 & CSPII & Ia \\
LSQ14q & 0.0679 & 0.06695 & 18.874 & 0.009 & 0.957 & 0.004 & -0.046 & 0.00849 & 1e-05 & 0.0 & 9.32 & CSPII & Ia \\
LSQ14wp & 0.0706 & 0.06945 & 18.736 & 0.013 & 1.134 & 0.012 & -0.037 & 0.01063 & 3e-05 & 0.0 & 7.48 & CSPII & Ia-91T \\
LSQ14xi & 0.0519 & 0.05074 & 18.497 & 0.013 & 1.142 & 0.011 & 0.218 & 0.01063 & 2e-05 & 0.0 & 10.9 & CSPII & Ia \\
LSQ15aae & 0.0518 & 0.05156 & 18.298 & 0.01 & 1.218 & 0.007 & 0.077 & 0.00849 & 0.0 & 0.0 & 10.27 & CSPII & Ia-91T \\
LSQ15agh & 0.061 & 0.05996 & 18.472 & 0.009 & 1.134 & 0.008 & -0.032 & 0.00781 & 2e-05 & 0.0 & 9.87 & CSPII & Ia \\
LSQ15aja & 0.07 & 0.06995 & 18.855 & 0.018 & 1.032 & 0.011 & -0.087 & 0.00943 & 2e-05 & 0.0 & 7.46 & CSPII & Ia \\
LSQ15alq & 0.0481 & 0.04707 & 17.954 & 0.008 & 0.921 & 0.005 & -0.002 & 0.0064 & 0.0 & 0.0 & 10.4 & CSPII & Ia \\
LSQ15bv & 0.0701 & 0.0689 & 18.929 & 0.015 & 0.952 & 0.009 & -0.001 & 0.01442 & -4e-05 & 0.0 & 10.56 & CSPII & Ia \\
PS1-13eao & 0.0374 & 0.03775 & 19.253 & 0.024 & 0.89 & 0.045 & 1.549 & 0.09632 & -0.00014 & 0.0 & 10.73 & CSPII & Ia \\
PS1-14ra & 0.0288 & 0.02808 & 17.083 & 0.008 & 0.777 & 0.006 & 0.06 & 0.0064 & -0.0 & 0.0 & 10.65 & CSPII & Ia \\
PS1-14rx & 0.068 & 0.06695 & 19.13 & 0.03 & 0.846 & 0.018 & -0.022 & 0.02691 & 0.00015 & 0.0 & 9.89 & CSPII & Ia \\
