sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,Ho,eHo,method,BV,eBV,covBV_M,host,dist,edist,kmag,ekmag,m,ml,mu,sample,subtype,quality,caltype
SN2007nq,0.045,0.0439033,0.769,0.006,17.431,0.009,-1.3,0.0312,0.0031,1.885e-07,,,,0.056,0.011,8.1e-05,N/A,-1.0,-1.0,,,11.21,11.15,11.28,CSPI,Ia,0.952,none
SN2007ol,0.05587,0.054882,0.701,0.032,18.063,0.018,-3.5,0.0215,0.0022,0.0002758,,,,-0.063,0.028,0.000324,N/A,-1.0,-1.0,,,9.82,9.71,9.93,CSPI,Ia,0.972,none
SN2007on,0.00649,0.0061833,0.589,0.003,13.032,0.009,-8.4,0.0098,0.001,6.047e-06,,,,0.115,0.012,8.1e-05,N/A,-1.0,-1.0,,,11.04,10.779999732971191,11.449999809265137,CSPI,Ia,0.957,none
SN2007so,0.0296667,0.0289285,0.925,0.009,16.343,0.066,24.1,0.1161,0.0116,9.643e-05,,,,0.014,0.076,0.004356,N/A,-1.0,-1.0,,,10.97,10.89,11.07,CSPI,Ia,,none
SN2007st,0.0211667,0.0206508,0.863,0.022,15.839,0.066,4.3,0.0143,0.0014,-7.715e-05,,,,0.149,0.083,0.004356,N/A,-1.0,-1.0,,,10.95,10.85,11.4,CSPI,Ia,0.951,none
SN2007ux,0.0308933,0.031996,0.628,0.006,17.407,0.008,-0.3,0.0386,0.0039,-1.053e-05,,,,0.21,0.01,6.4e-05,N/A,-1.0,-1.0,,,10.3,10.23,10.34,CSPI,Ia-86G,0.981,none
SN2008C,0.01661,0.0170667,0.967,0.024,15.668,0.06,3.4,0.072,0.0072,-6.754e-05,,,,0.167,0.074,0.0036,N/A,-1.0,-1.0,,,10.49,10.35,10.55,CSPI,Ia,0.981,none
SN2008O,0.03883,0.039318,0.688,0.01,18.149,0.013,-1.3,0.0763,0.0076,3.342e-07,,,,0.313,0.016,0.000169,N/A,-1.0,-1.0,,,11.33,11.12,11.59,CSPI,Ia,0.986,none
SN2008R,0.0134933,0.0128867,0.632,0.006,15.27,0.008,-1.4,0.0618,0.0062,1.943e-06,,,,0.12,0.011,6.4e-05,N/A,-1.0,-1.0,,,11.25,11.069999694824219,11.3100004196167,CSPI,Ia,0.976,none
SN2008ar,0.02613,0.0272474,0.976,0.004,16.232,0.009,-7.1,0.0311,0.0031,1.942e-05,,,,0.008,0.011,8.1e-05,N/A,-1.0,-1.0,,,10.21,10.11,10.28,CSPI,Ia,0.984,none
SN2008bc,0.0150767,0.0157067,1.057,0.005,14.748,0.004,-8.1,0.2251,0.0225,6.223e-06,,,,-0.028,0.006,1.6e-05,N/A,-1.0,-1.0,,,10.1,9.95,10.23,CSPI,Ia,0.979,none
SN2008bd,0.0300833,0.0312803,0.66,0.038,17.675,0.052,16.3,0.0751,0.0075,-0.0005821,,,,0.339,0.067,0.002704,N/A,-1.0,-1.0,,,11.07,10.99,11.13,CSPI,Ia-91bg,,none
SN2008bf,0.0234837,0.0245538,1.019,0.004,15.711,0.005,-7.2,0.0296,0.003,8.315e-06,,,,-0.046,0.006,2.5e-05,N/A,-1.0,-1.0,,,11.4,11.4,11.4,CSPI,Ia,0.982,none
SN2008bi,0.0134367,0.0143882,0.512,0.022,17.044,0.103,7.3,0.037,0.0037,5.169e-05,,,,0.591,0.123,0.010609,N/A,-1.0,-1.0,,,10.38,10.27,10.48,CSPI,Ia-91bg,0.972,none
SN2008bq,0.0339767,0.0344433,1.153,0.009,16.711,0.007,-0.2,0.0774,0.0077,-2.175e-05,,,,0.04,0.009,4.9e-05,N/A,-1.0,-1.0,,,10.82,10.74,10.91,CSPI,Ia,0.983,none
SN2008bt,0.0153533,0.0165796,0.498,0.008,16.757,0.01,-1.1,0.0445,0.0044,5.945e-06,,,,0.508,0.013,0.0001,N/A,-1.0,-1.0,,,10.85,10.7,10.91,CSPI,Ia-91bg,0.979,none
SN2008bz,0.0602367,0.0613265,0.948,0.023,17.952,0.051,1.4,0.0226,0.0023,-3.339e-05,,,,-0.044,0.064,0.002601,N/A,-1.0,-1.0,,,10.5,10.44,10.56,CSPI,Ia,0.957,none
SN2008cc,0.0103867,0.0101222,0.813,0.018,14.334,0.053,8.5,0.0355,0.0035,-2.788e-05,,,,0.158,0.065,0.002809,N/A,-1.0,-1.0,,,10.48,10.4,10.64,CSPI,Ia,0.965,none
SN2008cd,0.0074067,0.0084623,1.08,0.144,18.809,0.115,9.3,0.0592,0.0059,-0.003924,,,,1.662,0.136,0.013225,N/A,-1.0,-1.0,,,9.54,9.43,9.64,CSPI,Ia,0.87,none
SN2008cf,0.0459682,0.0468269,1.092,0.035,17.061,0.05,0.8,0.0577,0.0058,-6.784e-05,,,,0.009,0.062,0.0025,N/A,-1.0,-1.0,,,8.73,8.59,8.97,CSPI,Ia,0.986,none
SN2008ff,0.0191933,0.0186725,1.083,0.009,15.401,0.015,19.5,0.0436,0.0044,-3.539e-05,,,,0.177,0.017,0.000225,N/A,-1.0,-1.0,,,10.8,10.8,10.8,CSPI,Ia,0.981,none
SN2008fl,0.0199,0.0194172,0.883,0.017,15.682,0.048,3.0,0.1569,0.0157,-8.998e-06,,,,0.056,0.059,0.002304,N/A,-1.0,-1.0,,,10.94,10.87,11.01,CSPI,Ia,0.982,none
SN2008fp,0.00566,0.0062867,1.108,0.008,13.936,0.005,-5.5,0.1686,0.0169,1.326e-06,,,,0.479,0.007,2.5e-05,N/A,-1.0,-1.0,,,10.2,10.15,10.63,CSPI,Ia,0.944,none
SN2008fr,0.0389733,0.0379062,1.035,0.023,16.826,0.055,7.6,0.0395,0.004,-3.986e-05,,,,-0.014,0.069,0.003025,N/A,-1.0,-1.0,,,7.73,7.58,7.92,CSPI,Ia,0.981,none
SN2008fu,0.05237,0.0518336,0.822,0.024,17.742,0.072,6.8,0.018,0.0018,-0.0001104,,,,-0.021,0.087,0.005184,N/A,-1.0,-1.0,,,10.72,10.66,10.8,CSPI,Ia,0.986,none
SN2008fw,0.0085433,0.0095066,1.117,0.023,13.992,0.052,9.1,0.1123,0.0112,-4.231e-05,,,,0.076,0.065,0.002704,N/A,-1.0,-1.0,,,10.49,10.31,10.61,CSPI,Ia-91T,0.971,none
SN2008gg,0.0319933,0.0310658,1.054,0.025,16.574,0.05,3.4,0.0195,0.002,-4.859e-05,,,,0.149,0.063,0.0025,N/A,-1.0,-1.0,,,10.73,10.63,10.82,CSPI,Ia,0.984,none
SN2008gl,0.0339933,0.0329459,0.867,0.005,16.818,0.006,-2.9,0.0244,0.0024,4.414e-06,,,,0.028,0.008,3.6e-05,N/A,-1.0,-1.0,,,10.86,10.81,10.92,CSPI,Ia,0.977,none
SN2008go,0.0623667,0.0613133,0.939,0.018,18.041,0.008,-0.5,0.032,0.0032,2.488e-06,,,,0.04,0.01,6.4e-05,N/A,-1.0,-1.0,,,10.94,10.89,11.0,CSPI,Ia,0.986,none
SN2008gp,0.03339,0.0328233,0.979,0.004,16.431,0.008,-10.6,0.1042,0.0104,8.298e-06,,,,-0.031,0.011,6.4e-05,N/A,-1.0,-1.0,,,10.73,10.64,10.79,CSPI,Ia,0.985,none
SN2008hj,0.0378667,0.0367224,1.008,0.005,16.783,0.005,-6.3,0.0303,0.003,9.609e-06,,,,-0.008,0.007,2.5e-05,N/A,-1.0,-1.0,,,10.4,10.2,10.69,CSPI,Ia,0.983,none
SN2008hu,0.0496656,0.050526,0.827,0.023,17.848,0.056,0.2,0.0921,0.0092,-2.648e-05,,,,0.021,0.07,0.003136,N/A,-1.0,-1.0,,,10.99,10.84,11.07,CSPI,Ia,0.985,none
SN2008hv,0.01254,0.01358,0.867,0.004,14.74,0.009,-10.7,0.0279,0.0028,9.466e-06,,,,-0.047,0.011,8.1e-05,N/A,-1.0,-1.0,,,10.55,10.29,10.67,CSPI,Ia,0.973,none
SN2008ia,0.0219833,0.02254,0.834,0.006,15.88,0.011,-3.7,0.1954,0.0195,8.762e-06,,,,-0.035,0.016,0.000121,N/A,-1.0,-1.0,,,10.77,10.539999961853027,11.229999542236328,CSPI,Ia,0.983,none
SN2009D,0.02499,0.024654,1.159,0.007,15.752,0.004,-6.5,0.0441,0.0044,-8.095e-07,,,,-0.021,0.006,1.6e-05,N/A,-1.0,-1.0,,,10.43,10.35,10.5,CSPI,Ia,0.984,none
SN2009F,0.0129467,0.01291,0.386,0.007,16.91,0.019,-4.8,0.0895,0.0089,2.457e-05,,,,0.551,0.025,0.000361,N/A,-1.0,-1.0,,,10.79,10.61,11.22,CSPI,Ia-91bg,0.97,none
SN2009I,0.02615,0.0254309,1.089,0.03,18.181,0.013,-3.6,0.0272,0.0027,-1.198e-05,,,,0.651,0.017,0.000169,N/A,-1.0,-1.0,,,10.74,10.53,10.88,CSPI,Ia,0.969,none
SN2009P,0.0250867,0.0263202,1.08,0.042,17.023,0.017,-0.9,0.0415,0.0042,-0.0001906,,,,0.406,0.021,0.000289,N/A,-1.0,-1.0,,,9.87,9.77,9.95,CSPI,Ia,0.982,none
SN2009Y,0.0093467,0.0101034,0.993,0.005,13.966,0.007,-6.9,0.0873,0.0087,9.033e-06,,,,0.148,0.01,4.9e-05,N/A,-1.0,-1.0,,,10.76,10.66,10.95,CSPI,Ia,0.97,none
SN2009aa,0.02729,0.0284814,0.944,0.004,16.333,0.009,-8.9,0.0295,0.0029,8.65e-06,,,,0.013,0.012,8.1e-05,N/A,-1.0,-1.0,,,10.6,10.1,10.8,CSPI,Ia,0.983,none
SN2009ab,0.0111633,0.0108624,0.903,0.006,14.713,0.008,-9.1,0.1838,0.0184,1.606e-05,,,,0.035,0.011,6.4e-05,N/A,-1.0,-1.0,,,10.35,10.2,10.78,CSPI,Ia,0.959,none
SN2009ad,0.02838,0.0283174,1.107,0.014,16.203,0.008,-7.7,0.0953,0.0095,9.946e-06,,,,0.032,0.011,6.4e-05,N/A,-1.0,-1.0,,,10.58,10.5,10.64,CSPI,Ia,0.984,none
SN2009ag,0.0086333,0.0092477,0.966,0.005,14.609,0.011,-1.5,0.218,0.0218,4.109e-06,,,,0.149,0.014,0.000121,N/A,-1.0,-1.0,,,10.2,9.99,10.6,CSPI,Ia,0.97,none
SN2009al,0.02209,0.0232764,0.92,0.013,16.246,0.022,-3.4,0.0212,0.0021,5.282e-05,,,,0.186,0.028,0.000484,N/A,-1.0,-1.0,,,10.72,10.66,10.77,CSPI,Ia,0.98,none
SN2009cz,0.0211233,0.0219786,1.173,0.011,15.7,0.008,-5.9,0.0221,0.0022,-1.703e-06,,,,0.017,0.011,6.4e-05,N/A,-1.0,-1.0,,,10.75,10.68,10.84,CSPI,Ia,0.982,none
SN2009ds,0.0192467,0.0204662,1.121,0.015,15.482,0.009,-8.7,0.0332,0.0033,4.033e-06,,,,0.107,0.013,8.1e-05,N/A,-1.0,-1.0,,,10.77,10.62,10.97,CSPI,Ia,0.982,none
SN2009le,0.0177733,0.017027,1.087,0.011,15.346,0.006,-10.1,0.0143,0.0014,9.491e-06,,,,0.122,0.008,3.6e-05,N/A,-1.0,-1.0,,,10.84,10.66,11.31,CSPI,Ia,0.976,none
SN2011iy,0.0042633,0.0053357,1.033,0.005,12.158,0.01,15.4,0.0529,0.0053,-4.239e-06,,,,0.244,0.012,0.0001,N/A,-1.0,-1.0,,,10.39,10.21,10.83,CSPII,Ia,0.9,none
SN2011jh,0.0077833,0.0089154,0.789,0.005,15.089,0.006,-8.5,0.0322,0.0032,1.191e-05,,,,0.367,0.008,3.6e-05,N/A,-1.0,-1.0,,,10.09,10.02,10.16,CSPII,Ia,0.966,none
SN2011jn,0.0474433,0.0485384,0.644,0.02,17.953,0.069,5.2,0.0593,0.0059,-5.09e-05,,,,0.137,0.083,0.004761,N/A,-1.0,-1.0,,,11.35,11.23,11.78,CSPII,Ia,0.982,none
SN2011jt,0.02778,0.0284695,0.955,0.027,16.646,0.068,5.6,0.0386,0.0039,-0.0001555,,,,0.149,0.084,0.004624,N/A,-1.0,-1.0,,,10.39,10.25,10.52,CSPII,Ia,0.985,none
SN2012E,0.0202367,0.019439,0.846,0.008,15.668,0.007,-1.5,0.0649,0.0065,-9.681e-07,,,,0.011,0.009,4.9e-05,N/A,-1.0,-1.0,,,10.54,10.36,10.73,CSPII,Ia,0.982,none
SN2012G,0.0258,0.0268487,1.158,0.006,15.977,0.005,-0.3,0.0205,0.0021,-1.045e-05,,,,-0.043,0.006,2.5e-05,N/A,-1.0,-1.0,,,9.73,9.58,9.84,CSPII,Ia,0.973,none
SN2012U,0.0197233,0.0193386,0.905,0.023,15.499,0.065,9.3,0.0227,0.0023,-7.773e-06,,,,-0.018,0.08,0.004225,N/A,-1.0,-1.0,,,10.56,10.38,10.74,CSPII,Ia,0.975,none
SN2012ah,0.0123933,0.0123697,0.905,0.022,14.446,0.058,4.6,0.1545,0.0155,-6.381e-05,,,,-0.075,0.072,0.003364,N/A,-1.0,-1.0,,,11.5,11.5,11.5,CSPII,Ia,0.974,none
SN2012aq,0.0519633,0.0525508,0.996,0.018,17.572,0.051,6.7,0.0338,0.0034,-7.683e-06,,,,0.004,0.063,0.002601,N/A,-1.0,-1.0,,,7.77,7.63,8.01,CSPII,Ia,0.972,none
SN2012ar,0.02824,0.028536,0.809,0.006,16.498,0.005,-1.6,0.2024,0.0202,-1.547e-06,,,,0.032,0.006,2.5e-05,N/A,-1.0,-1.0,,,10.94,10.84,11.02,CSPII,Ia,0.982,none
SN2012bl,0.0186933,0.0181998,1.081,0.016,15.211,0.006,-4.2,0.0297,0.003,2.848e-06,,,,0.044,0.008,3.6e-05,N/A,-1.0,-1.0,,,10.09,9.85,10.24,CSPII,Ia,0.977,none
SN2012bo,0.0254133,0.0265314,1.16,0.007,16.176,0.004,-4.6,0.0447,0.0045,-4.443e-06,,,,0.009,0.006,1.6e-05,N/A,-1.0,-1.0,,,10.32,10.15,10.4,CSPII,Ia,0.983,none
SN2012gm,0.01478,0.013553,0.987,0.004,15.347,0.003,-7.5,0.0393,0.0039,4.644e-06,,,,0.172,0.004,9e-06,N/A,-1.0,-1.0,,,10.01,9.9,10.08,CSPII,Ia,0.977,none
SN2012hd,0.0119433,0.0111341,0.888,0.004,14.899,0.006,-12.3,0.0228,0.0023,8.42e-06,,,,0.122,0.008,3.6e-05,N/A,-1.0,-1.0,,,10.44,10.38,10.54,CSPII,Ia,0.973,none
SN2012hl,0.0329772,0.0318991,0.927,0.022,17.731,0.009,-1.6,0.053,0.0053,3.482e-05,,,,0.343,0.011,8.1e-05,N/A,-1.0,-1.0,,,7.31,7.18,7.46,CSPII,Ia,0.939,none
SN2012hr,0.0075567,0.0078716,0.973,0.001,13.623,0.003,-9.4,0.0389,0.0039,1.374e-06,,,,0.009,0.004,9e-06,N/A,-1.0,-1.0,,,10.32,10.21,10.45,CSPII,Ia,0.966,none
SN2012id,0.0157367,0.0155401,0.824,0.033,15.264,0.064,2.9,0.4255,0.0426,-0.0002267,,,,0.055,0.078,0.004096,N/A,-1.0,-1.0,,,10.01,9.85,10.16,CSPII,Ia,0.977,none
SN2012ij,0.01099,0.012107,0.536,0.008,15.52,0.012,-4.2,0.0235,0.0024,2.708e-05,,,,0.257,0.017,0.000144,N/A,-1.0,-1.0,,,9.94,9.8,10.11,CSPII,Ia,0.969,none
SN2013E,0.0094067,0.0104565,1.131,0.004,13.768,0.003,-9.8,0.0843,0.0084,-5.178e-08,,,,0.075,0.004,9e-06,N/A,-1.0,-1.0,,,9.96,9.83,9.99,CSPII,Ia,0.951,none
SN2013H,0.0154767,0.0158792,1.048,0.005,15.638,0.004,-10.5,0.1134,0.0113,6.55e-06,,,,0.186,0.005,1.6e-05,N/A,-1.0,-1.0,,,10.5,10.32,10.6,CSPII,Ia,0.98,none
SN2013M,0.03493,0.0357427,0.943,0.004,16.617,0.008,-7.2,0.0719,0.0072,1.03e-05,,,,0.023,0.01,6.4e-05,N/A,-1.0,-1.0,,,10.9,10.73,11.04,CSPII,Ia,0.934,none
SN2013U,0.0344833,0.0356518,1.239,0.011,17.003,0.008,-4.0,0.0245,0.0025,9.518e-06,,,,0.172,0.01,6.4e-05,N/A,-1.0,-1.0,,,10.27,10.15,10.31,CSPII,Ia-91T,0.842,none
SN2013aa,0.0039967,0.0046654,1.002,0.002,11.101,0.003,-4.8,0.1458,0.0146,2.244e-06,,,,-0.068,0.004,9e-06,N/A,-1.0,-1.0,,,9.99,9.85,10.12,CSPII,Ia,0.888,none
SN2013ad,0.0363748,0.0358694,0.991,0.013,16.041,0.009,-2.7,0.3692,0.0369,3.941e-05,,,,-0.09,0.011,8.1e-05,N/A,-1.0,-1.0,,,11.5,11.5,11.5,CSPII,Ia,0.639,none
SN2013aj,0.00912,0.0100653,0.8,0.004,14.092,0.005,-4.8,0.0316,0.0032,5.342e-06,,,,0.052,0.006,2.5e-05,N/A,-1.0,-1.0,,,9.99,9.82,10.38,CSPII,Ia,0.969,none
SN2013as,0.0684526,0.0696439,1.01,0.022,18.323,0.054,4.8,0.0336,0.0034,-3.678e-05,,,,0.0,0.067,0.002916,N/A,-1.0,-1.0,,,8.59,8.43,8.95,CSPII,Ia,0.984,none
SN2013ay,0.0157167,0.0156526,0.494,0.019,16.296,0.068,7.5,0.0622,0.0062,-8.468e-05,,,,0.531,0.082,0.004624,N/A,-1.0,-1.0,,,10.72,10.64,10.82,CSPII,Ia,0.953,none
SN2013az,0.0372533,0.037464,0.768,0.025,17.237,0.052,2.3,0.0271,0.0027,-2.999e-05,,,,0.089,0.064,0.002704,N/A,-1.0,-1.0,,,10.99,10.93,11.07,CSPII,Ia,0.972,none
SN2013bc,0.02245,0.023528,0.481,0.023,18.19,0.054,0.9,0.0407,0.0041,-1.345e-05,,,,0.735,0.067,0.002916,N/A,-1.0,-1.0,,,10.47,10.28,10.55,CSPII,Ia,0.98,none
SN2013bz,0.01915,0.0201818,1.152,0.009,15.445,0.007,-5.1,0.0377,0.0038,-1.31e-05,,,,0.152,0.009,4.9e-05,N/A,-1.0,-1.0,,,9.98,9.94,10.04,CSPII,Ia-91T,0.855,none
SN2013cg,0.0079467,0.009009,0.966,0.024,13.847,0.062,4.8,0.0749,0.0075,-8.731e-05,,,,0.087,0.075,0.003844,N/A,-1.0,-1.0,,,10.13,9.98,10.27,CSPII,Ia,0.97,none
SN2013ct,0.0038,0.0027369,1.002,0.006,11.843,0.01,22.7,0.0244,0.0024,-1.307e-05,,,,0.064,0.012,0.0001,N/A,-1.0,-1.0,,,8.72,8.57,8.89,CSPII,Ia,0.944,none
SN2013fy,0.0308467,0.0301903,1.174,0.011,16.263,0.006,-5.7,0.023,0.0023,-4.089e-06,,,,0.01,0.008,3.6e-05,N/A,-1.0,-1.0,,,10.86,10.77,10.96,CSPII,Ia,0.985,none
SN2013fz,0.0205933,0.0205517,1.015,0.004,15.414,0.003,-2.7,0.0119,0.0012,1.507e-06,,,,-0.002,0.004,9e-06,N/A,-1.0,-1.0,,,10.69,10.61,10.77,CSPII,Ia,0.98,none
SN2013gv,0.0340967,0.0334585,0.845,0.008,16.76,0.009,-6.3,0.1434,0.0143,3.014e-05,,,,-0.025,0.012,8.1e-05,N/A,-1.0,-1.0,,,11.27,11.16,11.56,CSPII,Ia,0.973,none
SN2013gy,0.0140133,0.0135587,0.911,0.003,14.697,0.005,-15.4,0.0485,0.0049,4.435e-06,,,,-0.008,0.006,2.5e-05,N/A,-1.0,-1.0,,,9.0,8.98,9.16,CSPII,Ia,0.976,none
SN2013hh,0.01298,0.0141046,1.203,0.028,17.186,0.052,0.9,0.0247,0.0025,-2.767e-05,,,,0.557,0.066,0.002704,N/A,-1.0,-1.0,,,9.59,9.41,9.69,CSPII,Ia-91T,0.928,none
SN2013hn,0.01513,0.0160268,0.821,0.026,14.884,0.054,1.4,0.0529,0.0053,-7.997e-05,,,,-0.069,0.067,0.002916,N/A,-1.0,-1.0,,,10.99,10.84,11.07,CSPII,Ia,0.98,none
SN2014D,0.0081733,0.0092489,0.958,0.023,17.251,0.056,2.7,0.0257,0.0026,-6.518e-05,,,,0.566,0.069,0.003136,N/A,-1.0,-1.0,,,8.26,8.15,8.38,CSPII,Ia,0.039,none
SN2014I,0.0299933,0.0302041,0.916,0.003,16.294,0.005,-7.3,0.0207,0.0021,5.029e-06,,,,-0.022,0.006,2.5e-05,N/A,-1.0,-1.0,,,10.9,10.76,11.31,CSPII,Ia,0.98,none
SN2014Z,0.02126,0.0209246,0.98,0.029,15.538,0.048,1.9,0.0246,0.0025,-5.976e-05,,,,-0.019,0.06,0.002304,N/A,-1.0,-1.0,,,10.75,10.66,10.81,CSPII,Ia,0.983,none
SN2014ao,0.0140733,0.015028,0.881,0.005,16.914,0.006,-1.7,0.0282,0.0028,-9.665e-07,,,,0.598,0.008,3.6e-05,N/A,-1.0,-1.0,,,10.57,10.47,10.74,CSPII,Ia,0.979,none
SN2014at,0.03222,0.031543,0.948,0.004,16.386,0.006,-5.5,0.0164,0.0016,8.579e-06,,,,-0.042,0.008,3.6e-05,N/A,-1.0,-1.0,,,11.25,11.08,11.4,CSPII,Ia,0.984,none
SN2014ba,0.0058367,0.0049902,0.338,0.021,16.134,0.071,6.7,0.0102,0.001,-3.153e-05,,,,0.944,0.09,0.005041,N/A,-1.0,-1.0,,,10.64,10.56,11.06,CSPII,Ia-91bg,0.954,none
SN2014dl,0.0329433,0.0331433,1.227,0.013,16.028,0.005,-7.8,0.0547,0.0055,2.404e-05,,,,0.019,0.007,2.5e-05,N/A,-1.0,-1.0,,,9.48,9.19,9.68,CSPII,Ia-91T,0.694,none
SN2014dn,0.0221733,0.0221408,0.465,0.005,17.66,0.008,-0.1,0.0161,0.0016,-1.148e-06,,,,0.653,0.01,6.4e-05,N/A,-1.0,-1.0,,,10.65,10.58,10.72,CSPII,Ia,0.982,none
SN2014eg,0.01862,0.018331,1.183,0.01,15.511,0.007,-5.9,0.0257,0.0026,-3.202e-06,,,,0.247,0.009,4.9e-05,N/A,-1.0,-1.0,,,11.62,11.47,11.73,CSPII,Ia-91T,0.947,none
SNhunt281,0.0040667,0.004706,0.692,0.003,13.694,0.005,-12.0,0.0454,0.0045,3.535e-06,,,,0.04,0.007,2.5e-05,N/A,-1.0,-1.0,,,9.75,9.66,9.85,CSPII,Ia,0.947,none
SN1981B,0.006027,0.0071693,0.941,0.005,11.98,0.005,-6.5,0.0157,0.0016,1.136e-05,,,,0.07,0.008,2.5e-05,NGC4536,30.91,0.05,,,10.47,10.420000076293945,10.680000305175781,,,,c
SN1990N,0.003,0.0040676,1.113,0.006,12.714,0.006,-10.9,0.0223,0.0022,3.303e-06,,,,0.062,0.009,3.6e-05,NGC4639,31.53,0.07,,,10.14,10.069999694824219,10.239999771118164,,,,c
SN1994ae,0.004,0.0051205,1.05,0.007,13.145,0.005,-12.0,0.0262,0.0026,1.794e-05,,,,0.063,0.007,2.5e-05,NGC3370,32.05,0.05,,,9.69,9.550000190734863,9.829999923706055,,,,c
SN1995al,0.005,0.0058765,1.165,0.012,13.336,0.009,-3.8,0.0117,0.0012,-3.221e-05,,,,0.108,0.012,8.1e-05,NGC3021,32.5,0.09,,,9.87,9.760000228881836,9.970000267028809,,,,c
SN1998aq,0.003697,0.0042623,0.969,0.004,12.357,0.006,-10.3,0.0122,0.0012,5.785e-06,,,,-0.105,0.008,3.6e-05,NGC3982,31.74,0.07,,,10.02,9.859999656677246,10.100000381469727,,,,c
SN2001el,0.003896,0.0036761,0.959,0.005,12.823,0.008,-10.9,0.0121,0.0012,1.723e-05,,,,0.145,0.01,6.4e-05,NGC1448,31.28,0.06,,,10.34,10.34000015258789,10.34000015258789,,,,c
SN2002fk,0.00712,0.0066137,0.979,0.004,13.202,0.006,-12.3,0.0344,0.0034,6.84e-06,,,,-0.091,0.008,3.6e-05,NGC1309,32.52,0.06,,,9.94,9.779999732971191,10.640000343322754,,,,c
SN2003du,0.0063844,0.0066521,1.004,0.004,13.478,0.005,-10.6,0.0081,0.0008,8.541e-06,,,,-0.074,0.006,2.5e-05,UGC9391,32.92,0.06,,,8.6,8.470000267028809,8.739999771118164,,,,c
SN2005cf,0.0064611,0.007045,0.973,0.005,13.247,0.007,-12.5,0.0968,0.0097,1.258e-05,,,,0.005,0.01,4.9e-05,NGC5917,32.26,0.1,,,9.65,9.600000381469727,9.600000381469727,,,,c
SN2007af,0.00546,0.00629,0.949,0.002,13.184,0.005,-8.9,0.0338,0.0034,2.734e-06,,,,0.065,0.007,2.5e-05,NGC5584,31.79,0.05,,,9.82,9.6899995803833,9.869999885559082,CSPI,Ia,0.927,c
SN2007sr,0.0054733,0.0066557,0.989,0.017,12.796,0.047,6.4,0.0398,0.004,-5.379e-06,,,,0.159,0.059,0.002209,NGC4038,31.29,0.1,,,10.05,9.850000381469727,10.170000076293945,CSPI,Ia,0.198,c
SN2009ig,0.0088,0.0080401,1.061,0.014,13.454,0.007,-1.7,0.0269,0.0027,2.053e-05,,,,0.103,0.009,4.9e-05,NGC1015,32.5,0.08,,,10.35,10.350000381469727,10.350000381469727,,,,c
SN2011by,0.002843,0.003405,0.967,0.003,12.855,0.007,-12.7,0.0119,0.0012,7.513e-06,,,,-0.006,0.009,4.9e-05,NGC3972,31.59,0.07,,,9.47,9.470000267028809,9.470000267028809,,,,c
SN2011fe,0.000803,0.0012072,0.972,0.002,10.007,0.007,-15.4,0.0077,0.0008,4.221e-06,,,,0.01,0.008,4.9e-05,M101,29.14,0.04,,,10.23,10.229999542236328,10.229999542236328,,,,c
SN2012cg,0.001458,0.0025798,1.024,0.008,12.002,0.008,-17.5,0.0179,0.0018,3.188e-05,,,,0.075,0.009,6.4e-05,NGC4424,31.08,0.29,,,9.7,9.600000381469727,9.800000190734863,,,,c
SN2012fr,0.0054533,0.0051291,1.108,0.004,11.935,0.005,-12.7,0.0177,0.0018,1.719e-06,,,,0.013,0.006,2.5e-05,NGC1365,31.31,0.06,,,11.25,11.0600004196167,11.319999694824219,CSPII,Ia,0.981,c
SN2012ht,0.0035567,0.0046846,0.868,0.003,13.003,0.007,-13.3,0.0252,0.0025,8.234e-06,,,,-0.016,0.01,4.9e-05,NGC3347,31.91,0.04,,,8.06,8.0600004196167,8.0600004196167,CSPII,Ia,,c
SN2013dy,0.003889,0.0028843,1.112,0.006,12.748,0.004,-16.4,0.132,0.0132,-1.348e-07,,,,0.205,0.006,1.6e-05,NGC7250,31.5,0.08,,,9.09,9.09000015258789,9.09000015258789,,,,c
SN2015F,0.0048867,0.0052804,0.885,0.003,12.751,0.006,-14.6,0.1749,0.0175,8.605e-06,,,,0.05,0.008,3.6e-05,NGC2442,31.51,0.05,,,10.97,10.970000267028809,10.970000267028809,CSPII,Ia,0.987,c
SN1980N,0.005871,0.0055142,0.903,0.006,12.458,0.009,-1.5,0.018,0.0018,4.425e-06,,,,0.07,0.012,8.1e-05,NGC1316,31.44,0.04,,,11.79,11.75,11.800000190734863,,,,t
SN1981D,0.005871,0.0055129,0.792,0.033,12.551,0.034,-5.4,0.0178,0.0018,0.0001706,,,,0.172,0.038,0.001156,NGC1316,31.44,0.04,,,11.79,11.75,11.800000190734863,,,,t
SN1989B,0.002425,0.0035864,0.888,0.024,12.313,0.01,-4.0,0.0284,0.0028,-5.179e-06,,,,0.366,0.012,0.0001,NGC3627,31.2,0.04,,,11.02,11.020000457763672,11.020000457763672,,,,t
SN1994D,0.00149,0.0026093,0.824,0.005,11.84,0.006,-11.6,0.0191,0.0019,1.055e-05,,,,-0.047,0.009,3.6e-05,NGC4526,30.98,0.07,,,11.0,11.050000190734863,11.0,,,,t
SN1998bu,0.0024827,0.0036812,0.968,0.004,12.065,0.006,-3.3,0.0382,0.0038,2.696e-06,,,,0.345,0.007,3.6e-05,NGC3368,30.31,0.04,,,11.26,11.09000015258789,11.539999961853027,,,,t
