sn,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,Ho,eHo,meth,BV,eBV,covBV_M,host,dist,edist,kmag,ekmag,dsbf,ed,m,ml,mu,sample,subtype,quality,caltype
SN2014D,0.0081733,0.0092489,0.958,0.023,16.987,0.034,2.4,0.0257,0.0026,-5.634e-05,,,,0.566,0.069,0.0,N/A,-1.0,-1.0,,,,,8.26,8.15,8.38,CSPII,Ia,0.039,none
SN2014I,0.0299933,0.0302041,0.916,0.003,16.277,0.005,-7.5,0.0207,0.0021,4.83e-06,,,,-0.022,0.006,0.0,N/A,-1.0,-1.0,,,,,10.9,10.76,11.31,CSPII,Ia,0.98,none
SN2014Z,0.02126,0.0209246,0.98,0.029,15.519,0.027,1.6,0.0246,0.0025,-5.836e-05,,,,-0.019,0.06,0.0,N/A,-1.0,-1.0,,,,,10.75,10.66,10.81,CSPII,Ia,0.983,none
SN2014ao,0.0140733,0.015028,0.881,0.005,16.657,0.005,-1.9,0.0282,0.0028,6.27e-07,,,,0.598,0.008,0.0,N/A,-1.0,-1.0,,,,,10.57,10.47,10.74,CSPII,Ia,0.979,none
SN2014at,0.03222,0.031543,0.948,0.004,16.385,0.005,-5.7,0.0164,0.0016,7.793e-06,,,,-0.042,0.008,0.0,N/A,-1.0,-1.0,,,,,11.25,11.08,11.4,CSPII,Ia,0.984,none
SN2014ba,0.0058367,0.0049902,0.338,0.021,15.664,0.047,6.5,0.0102,0.001,-2.895e-05,,,,0.944,0.09,0.0,N/A,-1.0,-1.0,,,,,10.64,10.56,11.06,CSPII,Ia-91bg,0.954,none
SN2014dn,0.0221733,0.0221408,0.465,0.005,17.345,0.007,-0.4,0.0161,0.0016,6.35e-07,,,,0.653,0.01,0.0,N/A,-1.0,-1.0,,,,,10.65,10.58,10.72,CSPII,Ia,0.982,none
SN2014eg,0.01862,0.018331,1.183,0.01,15.384,0.007,-6.1,0.0257,0.0026,8.125e-06,,,,0.247,0.009,0.0,N/A,-1.0,-1.0,,,,,11.62,11.47,11.73,CSPII,Ia-91T,0.947,none
SN2016coj,0.004483,0.0048465,0.811,0.008,13.065,0.013,-9.7,0.0163,0.0016,1.645e-05,31.537,0.448,Ho,0.0,0.013,0.0,NGC4125,31.922,0.258,,,,,11.083,11.019,11.147,N/A,N/A,0.0,s
SNhunt281,0.0040667,0.004706,0.692,0.003,13.627,0.005,-12.1,0.0454,0.0045,3.284e-06,,,,0.04,0.007,0.0,N/A,-1.0,-1.0,,,,,9.75,9.66,9.85,CSPII,Ia,0.947,none
