,sn,res_u,eres_u,zcmb_u,st_u,B-V_u,m_u,ml_u,mu_u,sample_u,cal_u,res_B,eres_B,zcmb_B,st_B,B-V_B,m_B,ml_B,mu_B,sample_B,cal_B,res,eres,zcmb,st,B-V,m,ml,mu,sample,cal,res_V,eres_V,zcmb_V,st_V,B-V_V,m_V,ml_V,mu_V,sample_V,cal_V,res_r,eres_r,zcmb_r,st_r,B-V_r,m_r,ml_r,mu_r,sample_r,cal_r,res_i,eres_i,zcmb_i,st_i,B-V_i,m_i,ml_i,mu_i,sample_i,cal_i,res_Y,eres_Y,zcmb_Y,st_Y,B-V_Y,m_Y,ml_Y,mu_Y,sample_Y,cal_Y,res_J,eres_J,zcmb_J,st_J,B-V_J,m_J,ml_J,mu_J,sample_J,cal_J,res_H,eres_H,zcmb_H,st_H,B-V_H,m_H,ml_H,mu_H,sample_H,cal_H
59,PS1-14xw,-0.0496749860519045,0.283969745986148,0.0245957,1.036,0.018,11.24,11.11,11.71,CSPII,none,-0.1900549223643608,0.2137852192693731,0.0245957,1.036,0.018,11.24,11.11,11.71,CSPII,none,-0.1669664930405545,0.2016937569550301,0.0245957,1.036,0.018,11.24,11.11,11.71,CSPII,none,-0.1887091619116461,0.221221922582896,0.0245957,1.036,0.018,11.24,11.11,11.71,CSPII,none,-0.1860674192955613,0.2051521991462959,0.0245957,1.036,0.018,11.24,11.11,11.71,CSPII,none,-0.127452536915392,0.1942078689545322,0.0245957,1.036,0.018,11.24,11.11,11.71,CSPII,none,-0.0293510270209935,0.1641169412159822,0.0245957,1.036,0.018,11.24,11.11,11.71,CSPII,none,-0.1537973592229988,0.2205236604021345,0.0245957,1.036,0.018,11.24,11.11,11.71,CSPII,none,-0.0394122862320713,0.1893105605316957,0.0245957,1.036,0.018,11.24,11.11,11.71,CSPII,none
60,PS15sv,-0.2926311241606854,0.2668331164908229,0.0335844,1.113,0.013,8.31,8.2,8.56,CSPII,none,-0.154632154473127,0.1984649299983738,0.0335844,1.113,0.013,8.31,8.2,8.56,CSPII,none,-0.126658819149334,0.180918816279536,0.0335844,1.113,0.013,8.31,8.2,8.56,CSPII,none,-0.155599105020407,0.2070583167403612,0.0335844,1.113,0.013,8.31,8.2,8.56,CSPII,none,-0.1654735774043416,0.1863569057421012,0.0335844,1.113,0.013,8.31,8.2,8.56,CSPII,none,-0.2183459840241752,0.1718759411280757,0.0335844,1.113,0.013,8.31,8.2,8.56,CSPII,none,-0.0883328711297863,0.1463565980407764,0.0335844,1.113,0.013,8.31,8.2,8.56,CSPII,none,-0.2002791053317807,0.200250183631199,0.0335844,1.113,0.013,8.31,8.2,8.56,CSPII,none,0.1138253146591523,0.1911456405660893,0.0335844,1.113,0.013,8.31,8.2,8.56,CSPII,none
61,PTF11pbp,0.3460513478334448,0.2647176831792901,0.0276702,1.157,0.051,10.88,10.73,10.97,CSPII,none,0.1560856775209913,0.2033853330740069,0.0276702,1.157,0.051,10.88,10.73,10.97,CSPII,none,0.1282723728448047,0.1905320129699227,0.0276702,1.157,0.051,10.88,10.73,10.97,CSPII,none,0.1612295669737165,0.2103877275840067,0.0276702,1.157,0.051,10.88,10.73,10.97,CSPII,none,0.132387694589795,0.1937065672709414,0.0276702,1.157,0.051,10.88,10.73,10.97,CSPII,none,0.0670004479699457,0.1816085678250972,0.0276702,1.157,0.051,10.88,10.73,10.97,CSPII,none,0.0734502408643464,0.1536556745572182,0.0276702,1.157,0.051,10.88,10.73,10.97,CSPII,none,0.1126088866623433,0.2078409587905795,0.0276702,1.157,0.051,10.88,10.73,10.97,CSPII,none,0.1113526266532787,0.1791075885271988,0.0276702,1.157,0.051,10.88,10.73,10.97,CSPII,none
62,PTF11qnr,-0.4707235153551323,0.328899414089983,0.0149985,0.807,0.255,10.65,10.38,10.7,CSPII,none,-0.0774479856675967,0.2737415806384296,0.0149985,0.807,0.255,10.65,10.38,10.7,CSPII,none,-0.0517620903437787,0.2730611897838129,0.0149985,0.807,0.255,10.65,10.38,10.7,CSPII,none,-0.085636296214858,0.284793868186751,0.0149985,0.807,0.255,10.65,10.38,10.7,CSPII,none,-0.0656811685987861,0.266892910782108,0.0149985,0.807,0.255,10.65,10.38,10.7,CSPII,none,-0.0260682152186433,0.25787934464499,0.0149985,0.807,0.255,10.65,10.38,10.7,CSPII,none,0.0647481776757601,0.211252371092972,0.0149985,0.807,0.255,10.65,10.38,10.7,CSPII,none,-0.057189576526234,0.2641098358904579,0.0149985,0.807,0.255,10.65,10.38,10.7,CSPII,none,-0.0293364365353099,0.2299468211155512,0.0149985,0.807,0.255,10.65,10.38,10.7,CSPII,none
63,PTF13duj,0.2127579072162504,0.3252878849711195,0.015867,1.158,0.052,10.73,10.61,10.82,CSPII,none,0.0792066669037936,0.2676035044719135,0.015867,1.158,0.052,10.73,10.61,10.82,CSPII,none,0.0932177922276054,0.2641058261366599,0.015867,1.158,0.052,10.73,10.61,10.82,CSPII,none,0.08407435135652,0.2798277659737953,0.015867,1.158,0.052,10.73,10.61,10.82,CSPII,none,0.1045711539725928,0.2596455502235624,0.015867,1.158,0.052,10.73,10.61,10.82,CSPII,none,0.1575021123527591,0.2494635809901438,0.015867,1.158,0.052,10.73,10.61,10.82,CSPII,none,0.3293383702471502,0.2217594273094217,0.015867,1.158,0.052,10.73,10.61,10.82,CSPII,none,0.2983122060451464,0.2768870188251907,0.015867,1.158,0.052,10.73,10.61,10.82,CSPII,none,0.2938687310360777,0.2291697953519061,0.015867,1.158,0.052,10.73,10.61,10.82,CSPII,none
64,PTF13dwl,-0.3823084283962217,0.2726810283050881,0.0863561,1.114,0.017,8.74,8.42,8.98,CSPII,none,-0.230869964708674,0.1883978799311011,0.0863561,1.114,0.017,8.74,8.42,8.98,CSPII,none,-0.2168411353848611,0.1605572427199579,0.0863561,1.114,0.017,8.74,8.42,8.98,CSPII,none,-0.2311231042559498,0.1981031221297563,0.0863561,1.114,0.017,8.74,8.42,8.98,CSPII,none,-0.1097438616398704,0.1716317383156382,0.0863561,1.114,0.017,8.74,8.42,8.98,CSPII,none,-0.1450070792597202,0.1528182337705913,0.0863561,1.114,0.017,8.74,8.42,8.98,CSPII,none,0.2799531306346807,0.1814074069594993,0.0863561,1.114,0.017,8.74,8.42,8.98,CSPII,none,,,,,,,,,,,,,,,,,,,,
65,PTF13ebh,-0.0115393395196292,0.3593619995176627,0.012484,0.632,0.117,10.86,10.8,11.02,CSPII,none,-0.0630494598320794,0.3087069056742658,0.012484,0.632,0.117,10.86,10.8,11.02,CSPII,none,-0.0091252145082734,0.3134049838396617,0.012484,0.632,0.117,10.86,10.8,11.02,CSPII,none,-0.0472819953793575,0.3218086098905554,0.012484,0.632,0.117,10.86,10.8,11.02,CSPII,none,-0.100381492763276,0.3031665125104411,0.012484,0.632,0.117,10.86,10.8,11.02,CSPII,none,-0.1162953143831231,0.2950271320760825,0.012484,0.632,0.117,10.86,10.8,11.02,CSPII,none,-0.1333399964887291,0.2393373729319287,0.012484,0.632,0.117,10.86,10.8,11.02,CSPII,none,-0.1409722006907259,0.2921814431014844,0.012484,0.632,0.117,10.86,10.8,11.02,CSPII,none,-0.1637487356997979,0.2564559632295767,0.012484,0.632,0.117,10.86,10.8,11.02,CSPII,none
66,PTF14aje,0.3024428752358048,0.270107680693366,0.0282271,0.685,0.582,10.78,10.64,10.84,CSPII,none,0.2272128769233532,0.203726236050509,0.0282271,0.685,0.582,10.78,10.64,10.84,CSPII,none,0.3050212442471576,0.191209872046029,0.0282271,0.685,0.582,10.78,10.64,10.84,CSPII,none,0.2128609343760743,0.2095855363687491,0.0282271,0.685,0.582,10.78,10.64,10.84,CSPII,none,0.1505779819921571,0.1923833169787515,0.0282271,0.685,0.582,10.78,10.64,10.84,CSPII,none,0.0067835673723166,0.1798281639444937,0.0282271,0.685,0.582,10.78,10.64,10.84,CSPII,none,-0.0056135037332865,0.1520129726339691,0.0282271,0.685,0.582,10.78,10.64,10.84,CSPII,none,-0.102984281935285,0.2067780502244919,0.0282271,0.685,0.582,10.78,10.64,10.84,CSPII,none,-0.1235262779443644,0.1795901052047328,0.0282271,0.685,0.582,10.78,10.64,10.84,CSPII,none
67,PTF14fpg,0.5113694602076038,0.2593221945224055,0.03283,1.079,0.003,11.5,11.5,11.5,CSPII,none,0.2254428138951638,0.1965149727859213,0.03283,1.079,0.003,11.5,11.5,11.5,CSPII,none,0.2089485332189582,0.1799579247781811,0.03283,1.079,0.003,11.5,11.5,11.5,CSPII,none,0.229629959347875,0.2026950520487782,0.03283,1.079,0.003,11.5,11.5,11.5,CSPII,none,0.2690377269639512,0.1848852111755102,0.03283,1.079,0.003,11.5,11.5,11.5,CSPII,none,0.3969812243441168,0.1709006201488751,0.03283,1.079,0.003,11.5,11.5,11.5,CSPII,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PTF14w,0.1949758679305375,0.2875497278978719,0.0200839,0.743,0.05,9.14,8.96,9.3,CSPII,none,0.1762239976180879,0.2306549967052554,0.0200839,0.743,0.05,9.14,8.96,9.3,CSPII,none,0.2382104929418886,0.2239414885135432,0.0200839,0.743,0.05,9.14,8.96,9.3,CSPII,none,0.1801330870708142,0.2387754182126039,0.0200839,0.743,0.05,9.14,8.96,9.3,CSPII,none,0.1549112146868907,0.2228208047356452,0.0200839,0.743,0.05,9.14,8.96,9.3,CSPII,none,0.1465817680670511,0.2125772888177366,0.0200839,0.743,0.05,9.14,8.96,9.3,CSPII,none,0.1344689609614491,0.1761867240921057,0.0200839,0.743,0.05,9.14,8.96,9.3,CSPII,none,0.0974340067594567,0.2300181022883295,0.0200839,0.743,0.05,9.14,8.96,9.3,CSPII,none,0.0464893467503699,0.1991832450452638,0.0200839,0.743,0.05,9.14,8.96,9.3,CSPII,none
69,PTF14yw,0.553907133651002,0.3062967550120108,0.0180604,0.854,-0.043,10.24,10.16,10.59,CSPII,none,0.4186686373385484,0.2462227198098511,0.0180604,0.854,-0.043,10.24,10.16,10.59,CSPII,none,0.4603205066623559,0.2411201949774832,0.0180604,0.854,-0.043,10.24,10.16,10.59,CSPII,none,0.422441257791263,0.2555820804032428,0.0180604,0.854,-0.043,10.24,10.16,10.59,CSPII,none,0.427714900407345,0.2381890135532479,0.0180604,0.854,-0.043,10.24,10.16,10.59,CSPII,none,0.5284059227875062,0.2283768187664606,0.0180604,0.854,-0.043,10.24,10.16,10.59,CSPII,none,,,,,,,,,,,0.6368978404799179,0.2450416703373739,0.0180604,0.854,-0.043,10.24,10.16,10.59,CSPII,none,0.8213746934708297,0.3648331624667276,0.0180604,0.854,-0.043,10.24,10.16,10.59,CSPII,none
70,SN1981B,-0.1185138299999977,0.0655896183792069,0.0071693,0.941,0.07,10.47,10.42,10.68,,c,-0.1386337480000037,0.0579950450714403,0.0071693,0.941,0.07,10.47,10.42,10.68,,c,,,,,,,,,,,-0.1430079150000018,0.054417705232052,0.0071693,0.941,0.07,10.47,10.42,10.68,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0397175939999989,0.0970188264292843,0.0071693,0.941,0.07,10.47,10.42,10.68,,c,-0.0689243470000029,0.0611344974547505,0.0071693,0.941,0.07,10.47,10.42,10.68,,c
71,SN1990N,0.0499283300000001,0.0855776075641659,0.0040676,1.113,0.062,10.14,10.07,10.24,,c,0.1981487479999977,0.0788204540123279,0.0040676,1.113,0.062,10.14,10.07,10.24,,c,,,,,,,,,,,0.1977231649999957,0.0750233127296549,0.0040676,1.113,0.062,10.14,10.07,10.24,,c,0.2095242699999993,0.0734292912820926,0.0040676,1.113,0.062,10.14,10.07,10.24,,c,0.175413853000002,0.0725906914923117,0.0040676,1.113,0.062,10.14,10.07,10.24,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,SN1998aq,-0.3077072299999983,0.0800985406017463,0.0042623,0.969,-0.105,10.02,9.86,10.1,,c,-0.0391655879999994,0.0758821447160915,0.0042623,0.969,-0.105,10.02,9.86,10.1,,c,,,,,,,,,,,-0.0356091149999961,0.0727141992287778,0.0042623,0.969,-0.105,10.02,9.86,10.1,,c,-0.1178583699999968,0.0720167436682998,0.0042623,0.969,-0.105,10.02,9.86,10.1,,c,-0.1433998430000009,0.0714216242771093,0.0042623,0.969,-0.105,10.02,9.86,10.1,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,SN2001el,0.1673831700000008,0.0776471433272982,0.0036761,0.959,0.145,10.34,10.34,10.34,,c,0.1246706519999989,0.0701158850877488,0.0036761,0.959,0.145,10.34,10.34,10.34,,c,,,,,,,,,,,0.1161160850000015,0.065130514776735,0.0036761,0.959,0.145,10.34,10.34,10.34,,c,0.019539230000003,0.063805101589528,0.0036761,0.959,0.145,10.34,10.34,10.34,,c,0.0422487970000027,0.0632206876902877,0.0036761,0.959,0.145,10.34,10.34,10.34,,c,,,,,,,,,,,0.0147343939999977,0.063370281032323,0.0036761,0.959,0.145,10.34,10.34,10.34,,c,-0.0675307469999992,0.0626743108746231,0.0036761,0.959,0.145,10.34,10.34,10.34,,c
74,SN2004ef,0.0463794190928439,0.2570695821029266,0.02977,0.84,0.119,10.74,10.63,10.8,CSPI,none,-0.0483208292196053,0.1972426032446394,0.02977,0.84,0.119,10.74,10.63,10.8,CSPI,none,0.0042812881042095,0.1839629071279851,0.02977,0.84,0.119,10.74,10.63,10.8,CSPI,none,-0.0511793967668765,0.2029833186874552,0.02977,0.84,0.119,10.74,10.63,10.8,CSPI,none,-0.0413629741508074,0.1873798731496792,0.02977,0.84,0.119,10.74,10.63,10.8,CSPI,none,0.0238032362293623,0.1752505262193744,0.02977,0.84,0.119,10.74,10.63,10.8,CSPI,none,0.0930352901237583,0.165670123575257,0.02977,0.84,0.119,10.74,10.63,10.8,CSPI,none,0.0347932619217488,0.2204564788429236,0.02977,0.84,0.119,10.74,10.63,10.8,CSPI,none,0.0847763909126868,0.1798169239133386,0.02977,0.84,0.119,10.74,10.63,10.8,CSPI,none
75,SN2004eo,0.0850006664638911,0.3305924275808026,0.0147367,0.867,0.023,11.16,11.03,11.35,CSPI,none,0.0765338761514442,0.2761039574136598,0.0147367,0.867,0.023,11.16,11.03,11.35,CSPI,none,0.0827434514752454,0.2763569193269687,0.0147367,0.867,0.023,11.16,11.03,11.35,CSPI,none,0.0782624856041565,0.2873470313405046,0.0147367,0.867,0.023,11.16,11.03,11.35,CSPI,none,-0.01168258677977,0.2697167997877695,0.0147367,0.867,0.023,11.16,11.03,11.35,CSPI,none,-0.0477405533995991,0.2608954235837598,0.0147367,0.867,0.023,11.16,11.03,11.35,CSPI,none,0.0854986794947976,0.2127158934143295,0.0147367,0.867,0.023,11.16,11.03,11.35,CSPI,none,0.0970683652927917,0.2656963349591404,0.0147367,0.867,0.023,11.16,11.03,11.35,CSPI,none,0.1380966652837187,0.2319658993923312,0.0147367,0.867,0.023,11.16,11.03,11.35,CSPI,none
76,SN2004ey,0.1405982802385565,0.3361671187764405,0.0146267,1.008,-0.054,10.06,9.76,10.41,CSPI,none,0.1027432399261059,0.2766393390036524,0.0146267,1.008,-0.054,10.06,9.76,10.41,CSPI,none,0.109288565249912,0.2768539849347721,0.0146267,1.008,-0.054,10.06,9.76,10.41,CSPI,none,0.1047712243788225,0.2879701124144687,0.0146267,1.008,-0.054,10.06,9.76,10.41,CSPI,none,0.0977375269948979,0.2712982653669311,0.0146267,1.008,-0.054,10.06,9.76,10.41,CSPI,none,0.0979261853750514,0.2632446314046399,0.0146267,1.008,-0.054,10.06,9.76,10.41,CSPI,none,0.1678765432694575,0.2155443173580593,0.0146267,1.008,-0.054,10.06,9.76,10.41,CSPI,none,0.1706589790674542,0.2703411614054355,0.0146267,1.008,-0.054,10.06,9.76,10.41,CSPI,none,0.2848224040583886,0.2357686099284698,0.0146267,1.008,-0.054,10.06,9.76,10.41,CSPI,none
77,SN2004gs,0.0269256683390608,0.2593724147922617,0.0282767,0.707,0.205,10.63,10.57,10.7,CSPI,none,0.0474403980266089,0.2004433494919722,0.0282767,0.707,0.205,10.63,10.57,10.7,CSPI,none,0.09276549335042,0.1879110386880131,0.0282767,0.707,0.205,10.63,10.57,10.7,CSPI,none,0.0497418874793282,0.2063723983485156,0.0282767,0.707,0.205,10.63,10.57,10.7,CSPI,none,0.0415140150954087,0.1907285006613778,0.0282767,0.707,0.205,10.63,10.57,10.7,CSPI,none,0.0276471684755676,0.178759704356198,0.0282767,0.707,0.205,10.63,10.57,10.7,CSPI,none,0.0231181613699646,0.1580812201298843,0.0282767,0.707,0.205,10.63,10.57,10.7,CSPI,none,-0.1527359928320422,0.2167726133397573,0.0282767,0.707,0.205,10.63,10.57,10.7,CSPI,none,0.1523825471588935,0.1793386465303569,0.0282767,0.707,0.205,10.63,10.57,10.7,CSPI,none
78,SN2004gu,-0.2855556759693911,0.2585449482826705,0.0468967,1.153,0.149,10.02,9.74,10.19,CSPI,none,-0.2544866262818388,0.1842423035472088,0.0468967,1.153,0.149,10.02,9.74,10.19,CSPI,none,-0.2482012109580367,0.1652219731576974,0.0468967,1.153,0.149,10.02,9.74,10.19,CSPI,none,-0.2563560568291336,0.1919919838110995,0.0468967,1.153,0.149,10.02,9.74,10.19,CSPI,none,-0.1988917292130452,0.1724327752002261,0.0468967,1.153,0.149,10.02,9.74,10.19,CSPI,none,-0.1281396558328822,0.1581624098166579,0.0468967,1.153,0.149,10.02,9.74,10.19,CSPI,none,0.0107044970615106,0.1414720950176859,0.0468967,1.153,0.149,10.02,9.74,10.19,CSPI,none,-0.0843170971404916,0.2124306405891432,0.0468967,1.153,0.149,10.02,9.74,10.19,CSPI,none,0.1534962828504333,0.174394638136875,0.0468967,1.153,0.149,10.02,9.74,10.19,CSPI,none
79,SN2005M,0.0144622733208521,0.2711643684569179,0.02558,1.205,0.018,8.8,8.38,8.92,CSPI,none,0.065889875008402,0.207843664672981,0.02558,1.205,0.018,8.8,8.38,8.92,CSPI,none,0.0268878423322007,0.1964796173197296,0.02558,1.205,0.018,8.8,8.38,8.92,CSPI,none,0.072582332461117,0.2146178704977375,0.02558,1.205,0.018,8.8,8.38,8.92,CSPI,none,0.0490253800771967,0.1992936518094627,0.02558,1.205,0.018,8.8,8.38,8.92,CSPI,none,-0.0610214345426314,0.188260385942415,0.02558,1.205,0.018,8.8,8.38,8.92,CSPI,none,0.0233242943517666,0.1581723237412628,0.02558,1.205,0.018,8.8,8.38,8.92,CSPI,none,0.1298503161497564,0.2143623659628217,0.02558,1.205,0.018,8.8,8.38,8.92,CSPI,none,-0.0174904798593189,0.1839197929252057,0.02558,1.205,0.018,8.8,8.38,8.92,CSPI,none
80,SN2005W,0.0729548160372886,0.4892686551213625,0.00795,0.938,0.165,9.9,9.75,10.0,CSPI,none,0.133971935724837,0.4417596885846243,0.00795,0.938,0.165,9.9,9.75,10.0,CSPI,none,0.1868674210486531,0.4605603325514196,0.00795,0.938,0.165,9.9,9.75,10.0,CSPI,none,0.1242604601775667,0.4626773641723395,0.00795,0.938,0.165,9.9,9.75,10.0,CSPI,none,0.1291918627936397,0.4389404596394753,0.00795,0.938,0.165,9.9,9.75,10.0,CSPI,none,0.1381829811738057,0.4324542306018087,0.00795,0.938,0.165,9.9,9.75,10.0,CSPI,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,SN2005al,0.4247549615652346,0.3464711267459024,0.0132867,0.868,-0.058,10.49,10.4,10.63,CSPI,none,0.3087778412527839,0.2952700598887115,0.0132867,0.868,-0.058,10.49,10.4,10.63,CSPI,none,0.3229230865765942,0.2982680335761613,0.0132867,0.868,-0.058,10.49,10.4,10.63,CSPI,none,0.313260305705505,0.3076929885245409,0.0132867,0.868,-0.058,10.49,10.4,10.63,CSPI,none,0.3176678083215876,0.2895064604209623,0.0132867,0.868,-0.058,10.49,10.4,10.63,CSPI,none,0.3748839867017395,0.2811405053303881,0.0132867,0.868,-0.058,10.49,10.4,10.63,CSPI,none,0.3657353045961358,0.2339883084827133,0.0132867,0.868,-0.058,10.49,10.4,10.63,CSPI,none,0.3168091003941455,0.2881485239010156,0.0132867,0.868,-0.058,10.49,10.4,10.63,CSPI,none,0.3836995653850579,0.2478809422625244,0.0132867,0.868,-0.058,10.49,10.4,10.63,CSPI,none
82,SN2005am,-0.4725887396523731,0.4518570844796017,0.0089667,0.765,0.065,10.83,10.68,11.26,CSPI,none,-0.4568237379648252,0.3989291714900067,0.0089667,0.765,0.065,10.83,10.68,11.26,CSPI,none,-0.4247643706410144,0.4135213765239263,0.0089667,0.765,0.065,10.83,10.68,11.26,CSPI,none,-0.452080680512104,0.4174207299383822,0.0089667,0.765,0.065,10.83,10.68,11.26,CSPI,none,-0.4820886328960299,0.3959869192299753,0.0089667,0.765,0.065,10.83,10.68,11.26,CSPI,none,-0.4632470475158783,0.3896048678835325,0.0089667,0.765,0.065,10.83,10.68,11.26,CSPI,none,-0.4617821186214641,0.3134144468947277,0.0089667,0.765,0.065,10.83,10.68,11.26,CSPI,none,-0.487774896823467,0.3732275078125407,0.0089667,0.765,0.065,10.83,10.68,11.26,CSPI,none,-0.3814818928325394,0.3267498649394021,0.0089667,0.765,0.065,10.83,10.68,11.26,CSPI,none
83,SN2005be,-0.3252242838255839,0.4085032860418719,0.0355767,0.768,0.055,10.4,10.25,10.5,CSPI,none,-0.1808876041380287,0.2636370972637206,0.0355767,0.768,0.055,10.4,10.25,10.5,CSPI,none,-0.1642525588142263,0.2520720568349249,0.0355767,0.768,0.055,10.4,10.25,10.5,CSPI,none,-0.1767229396853054,0.2749573401985095,0.0355767,0.768,0.055,10.4,10.25,10.5,CSPI,none,-0.1275724370692259,0.2185257933362323,0.0355767,0.768,0.055,10.4,10.25,10.5,CSPI,none,-0.1131774586890728,0.1970893004760872,0.0355767,0.768,0.055,10.4,10.25,10.5,CSPI,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,SN2005bg,-0.1846757816075594,0.4393007562802088,0.0241567,1.064,0.036,9.91,9.72,10.02,CSPI,none,-0.1318041179200193,0.2926156646467648,0.0241567,1.064,0.036,9.91,9.72,10.02,CSPI,none,-0.0965540885962141,0.2750089877236629,0.0241567,1.064,0.036,9.91,9.72,10.02,CSPI,none,-0.1331039574672914,0.3208309241913947,0.0241567,1.064,0.036,9.91,9.72,10.02,CSPI,none,-0.0836702148512102,0.2556740165759917,0.0241567,1.064,0.036,9.91,9.72,10.02,CSPI,none,-0.0452137324710619,0.2310334693902757,0.0241567,1.064,0.036,9.91,9.72,10.02,CSPI,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,SN2005bl,-0.006964930385827,0.314145126548262,0.0251133,0.429,0.676,11.01,10.89,11.2,CSPI,none,0.1379170233017319,0.2295807347020835,0.0251133,0.429,0.676,11.01,10.89,11.2,CSPI,none,0.1626273426255409,0.2183133157850463,0.0251133,0.429,0.676,11.01,10.89,11.2,CSPI,none,0.1594225687544437,0.2324151827088596,0.0251133,0.429,0.676,11.01,10.89,11.2,CSPI,none,0.0752763363705142,0.2117255776618667,0.0251133,0.429,0.676,11.01,10.89,11.2,CSPI,none,0.2041324337506722,0.1973032729190242,0.0251133,0.429,0.676,11.01,10.89,11.2,CSPI,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,SN2005bo,-0.1539294567002258,0.3270494806084342,0.0150133,0.883,0.237,10.5,10.34,10.65,CSPI,none,-0.0507262470126903,0.2730408084690989,0.0150133,0.883,0.237,10.5,10.34,10.65,CSPI,none,-0.0215906716888696,0.2723024721739891,0.0150133,0.883,0.237,10.5,10.34,10.65,CSPI,none,-0.0617796375599724,0.2843457498057983,0.0150133,0.883,0.237,10.5,10.34,10.65,CSPI,none,-0.1156827099438899,0.2665777241039417,0.0150133,0.883,0.237,10.5,10.34,10.65,CSPI,none,-0.1635206765637349,0.257394037731639,0.0150133,0.883,0.237,10.5,10.34,10.65,CSPI,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,SN2005el,0.1040134119645301,0.3351221028306952,0.0148833,0.864,-0.08,10.84,10.7,11.24,CSPI,none,0.1327858756520683,0.2749992877257027,0.0148833,0.864,-0.08,10.84,10.7,11.24,CSPI,none,0.1108547049758712,0.2749893082031505,0.0148833,0.864,-0.08,10.84,10.7,11.24,CSPI,none,0.1392412361047945,0.2862782319924574,0.0148833,0.864,-0.08,10.84,10.7,11.24,CSPI,none,0.1553629787208663,0.2686548437114926,0.0148833,0.864,-0.08,10.84,10.7,11.24,CSPI,none,0.1133622611010238,0.2601785470466975,0.0148833,0.864,-0.08,10.84,10.7,11.24,CSPI,none,0.1168489709954272,0.2123910004672468,0.0148833,0.864,-0.08,10.84,10.7,11.24,CSPI,none,0.1504298387934142,0.2669738064935448,0.0148833,0.864,-0.08,10.84,10.7,11.24,CSPI,none,0.1205517117843513,0.2325466925409645,0.0148833,0.864,-0.08,10.84,10.7,11.24,CSPI,none
88,SN2005eq,-0.0390545504571022,0.2659876358514911,0.02835,1.136,0.055,10.56,10.44,10.65,CSPI,none,0.0002009132304507,0.2033642762515178,0.02835,1.136,0.055,10.56,10.44,10.65,CSPI,none,-0.0229012574457385,0.1898039610131974,0.02835,1.136,0.055,10.56,10.44,10.65,CSPI,none,0.0030192736831722,0.2110236563883497,0.02835,1.136,0.055,10.56,10.44,10.65,CSPI,none,0.0356600162992535,0.1931154841555317,0.02835,1.136,0.055,10.56,10.44,10.65,CSPI,none,0.0376012986794123,0.1804965365656163,0.02835,1.136,0.055,10.56,10.44,10.65,CSPI,none,0.0892760085738118,0.15076747205508,0.02835,1.136,0.055,10.56,10.44,10.65,CSPI,none,0.0733148763718034,0.2064138627108529,0.02835,1.136,0.055,10.56,10.44,10.65,CSPI,none,0.1461497493627348,0.1776834239860223,0.02835,1.136,0.055,10.56,10.44,10.65,CSPI,none
89,SN2005hc,0.2908986242073084,0.2448548114050517,0.0444967,1.141,0.013,10.6,10.52,10.65,CSPI,none,0.1415900578948594,0.1812288555913768,0.0444967,1.141,0.013,10.6,10.52,10.65,CSPI,none,0.1134298572186693,0.1630308283301044,0.0444967,1.141,0.013,10.6,10.52,10.65,CSPI,none,0.1469677233475792,0.1865952987826677,0.0444967,1.141,0.013,10.6,10.52,10.65,CSPI,none,0.1692732909636518,0.1698050766304958,0.0444967,1.141,0.013,10.6,10.52,10.65,CSPI,none,0.1992662683438197,0.1559261063399841,0.0444967,1.141,0.013,10.6,10.52,10.65,CSPI,none,0.1625852132382022,0.13258982501778,0.0444967,1.141,0.013,10.6,10.52,10.65,CSPI,none,0.2846430910362159,0.1905498099527418,0.0444967,1.141,0.013,10.6,10.52,10.65,CSPI,none,0.1004084790271448,0.1678833774366626,0.0444967,1.141,0.013,10.6,10.52,10.65,CSPI,none
90,SN2005hj,-0.3476160373966905,0.2651213087561918,0.05695,1.151,0.08,9.32,9.22,9.38,CSPI,none,-0.1631933637091336,0.1897907630753028,0.05695,1.151,0.08,9.32,9.22,9.38,CSPI,none,-0.2026083243853307,0.1649825741334651,0.05695,1.151,0.08,9.32,9.22,9.38,CSPI,none,-0.1630891382564172,0.1994665808880692,0.05695,1.151,0.08,9.32,9.22,9.38,CSPI,none,-0.1324671706403464,0.1741215986531668,0.05695,1.151,0.08,9.32,9.22,9.38,CSPI,none,-0.048041753260172,0.1566833095376432,0.05695,1.151,0.08,9.32,9.22,9.38,CSPI,none,-0.0773206883657806,0.1331841729075399,0.05695,1.151,0.08,9.32,9.22,9.38,CSPI,none,-0.1232568905677808,0.1952175302859397,0.05695,1.151,0.08,9.32,9.22,9.38,CSPI,none,,,,,,,,,,
