name,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,dist,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M
SN2011iv,0.00649,0.0061827,0.63987622573513,0.007084768213570657,12.872610183878196,0.05026990100947703,1.2,0.0098,0.001,-3.699e-05,Ho,CSPII,Ia,0.93,0,1,0.03852483809426488,0.0096722814029211,0.0
SN2011iy,0.0042633,0.0053357,1.189045819196941,0.00662813832952825,12.797787544424928,0.03498358536047573,19.8,0.0529,0.0053,5.433e-06,Ho,CSPII,Ia,0.9,0,1,0.19307748460422935,0.0199211547490165,0.0
SN2011jh,0.0077833,0.0089154,0.7982491251876979,0.0029172344791427245,14.482331783296688,0.026783474099552177,1.3,0.0322,0.0032,1.634e-06,Ho,CSPII,Ia,0.966,0,1,0.39375308758044447,0.007526061362996556,0.0
SN2012aq,0.0519633,0.0525508,0.9880807343824856,0.02035629794327707,18.30978130274089,0.07163550933090419,16.0,0.0338,0.0034,1.029e-05,Ho,CSPII,Ia,0.972,1,0,0.011424160255106841,0.06308562964751974,0.0
SN2012ar,0.02824,0.028536,0.7832347318983498,0.003778040957412168,16.892140424518793,0.05980084120133003,6.1,0.2024,0.0202,-3.759e-06,Ho,CSPII,Ia,0.982,1,1,0.020344626610601324,0.0074737270101639655,0.0
SN2012bl,0.0186933,0.0181998,1.110490148287083,0.014158815886077597,16.338638774378733,0.07442888233494947,7.1,0.0297,0.003,0.0001483,Ho,CSPII,Ia,0.977,0,1,0.027431969405048662,0.010696163192407506,0.0
SN2012bo,0.0254133,0.0265314,1.1740777410072545,0.006378055932093116,16.91288118490176,0.051164343836459944,4.8,0.0447,0.0045,1.008e-05,Ho,CSPII,Ia,0.983,0,1,0.020231906846731817,0.005594302378001036,0.0
SN2012cg,0.001458,0.0025798,1.0558117321431082,0.007629781595188167,12.577020999042713,0.020957577957188882,-10.1,0.0179,0.0018,1.078e-05,"Ceph,TRGB",,,,,,0.10007578646406934,0.010417454289435017,0.0
SN2012fr,0.0054533,0.0051291,1.1154045182482721,0.0047326753261175344,13.004346918281806,0.018442103499932323,-7.2,0.0177,0.0018,-5.07e-07,"Ceph,TRGB",CSPII,Ia,0.981,0,1,-0.015082370279516866,0.00774728921002239,0.0
SN2012gm,0.01478,0.013553,0.9820819432387483,0.003410630187219109,15.499807161066578,0.013149660185637142,-3.1,0.0393,0.0039,3.366e-06,Ho,CSPII,Ia,0.977,0,1,0.184527925942783,0.0039021132607691446,0.0
SN2012hd,0.0119433,0.0111341,0.8708259877151875,0.004847090187252246,15.06845098835804,0.03723770537440068,-7.7,0.0228,0.0023,1.316e-05,Ho,CSPII,Ia,0.973,0,1,0.14552897805591414,0.010580708967951264,0.0
SN2012hr,0.0075567,0.0078716,0.9620756611548149,0.0023379826437414223,14.421854922457438,0.012084265201659058,-0.1,0.0389,0.0039,2.018e-06,Ho,CSPII,Ia,0.966,0,1,0.030146424724977194,0.0054118518440793555,0.0
SN2012ht,0.0035567,0.0046846,0.8525263896927594,0.0021536310144758706,13.648867327161332,0.009721218144959187,-6.8,0.0252,0.0025,7.761e-06,Ceph,CSPII,Ia,,0,1,0.003563973354086869,0.008560509386139259,0.0
SN2013E,0.0094067,0.0104565,1.1209505090965353,0.00627670819998618,14.544533099355183,0.05536618262371584,14.6,0.0843,0.0084,8.581e-06,Ho,CSPII,Ia,0.951,0,1,0.08003831734404265,0.006038865240499193,0.0
SN2013H,0.0154767,0.0158792,1.0561931834154412,0.004396170544103343,15.852772436214577,0.04029287462456146,12.8,0.1134,0.0113,1.289e-05,Ho,CSPII,Ia,0.98,0,1,0.19146209362729216,0.005770667273800662,0.0
SN2013M,0.03493,0.0357427,0.92535646102592,0.005964709850100292,17.12611492414726,0.06160436343605816,-0.7,0.0719,0.0072,1.923e-05,Ho,CSPII,Ia,0.934,1,1,0.041105094688528965,0.01589771040223387,0.0
SN2013U,0.0344833,0.0356518,1.252814443432858,0.011201842796336604,17.119790151310216,0.06804018543393399,12.0,0.0245,0.0025,-6.326e-05,Ho,CSPII,Ia-91T,0.842,1,1,0.19446329411944063,0.011777221941040318,0.0
SN2013aa,0.0039967,0.0046654,0.9997940750661624,0.003215552979545811,12.151554723876036,0.00904204641637458,3.5,0.1458,0.0146,2.568e-06,TRGB,CSPII,Ia,0.888,0,1,-0.06681156745199601,0.005753246223521934,0.0
SN2013ad,0.0363748,0.0358694,0.9964749055081655,0.015225519142700992,17.33007025851613,0.07697775160516428,6.7,0.3692,0.0369,5.99e-05,Ho,CSPII,Ia,0.639,1,0,-0.07773439757234613,0.011342945252997753,0.0
SN2013aj,0.00912,0.0100653,0.7763243222219229,0.0028712089453875227,14.474472691078185,0.02136379433820732,-0.1,0.0316,0.0032,8.713e-06,Ho,CSPII,Ia,0.969,0,1,0.027276737083798963,0.008928159478889757,0.0
SN2013as,0.0684526,0.0696439,1.026459959530622,0.02473618116608298,19.056605231296725,0.2953575222764668,10.1,0.0336,0.0034,1.008e-05,Ho,CSPII,Ia,0.984,1,0,0.026093378753735408,0.0672716556157884,0.0
SN2013ay,0.0157167,0.0156526,0.46433974872926753,0.019364758085083394,15.755224836528905,0.041085513346827696,8.4,0.0622,0.0062,-1.049e-05,Ho,CSPII,Ia,0.953,0,1,0.46781289805314863,0.07885414764566737,0.0
SN2013az,0.0372533,0.037464,0.7619894269727473,0.02045579117099472,17.477275116818316,0.06931071993583497,7.2,0.0271,0.0027,-6.587e-05,Ho,CSPII,Ia,0.972,1,0,0.08665038582439166,0.06535985337308575,0.0
SN2013bc,0.02245,0.023528,0.45957416155599345,0.02429249773152546,16.819956533676258,0.08393199267259552,1.5,0.0407,0.0041,9.867e-05,Ho,CSPII,Ia,0.98,0,1,0.7315394781469529,0.06729416502199456,0.0
SN2013bz,0.01915,0.0201818,1.1220475306179292,0.011114115068060088,15.94268213592877,0.04139943923969822,-0.5,0.0377,0.0038,7.06e-06,Ho,CSPII,Ia-91T,0.855,0,1,0.16957536010685992,0.010028304852769756,0.0
SN2013dy,0.003889,0.0028843,1.0985933244708057,0.006498876106490953,13.032391097265846,0.019123532978440213,-5.1,0.132,0.0132,3.658e-06,Ceph,,,,,,0.1884573286147777,0.007836572725708731,0.0
SN2013fy,0.0308467,0.0301903,1.1892276980805934,0.010234862109060812,17.0935275847511,0.08496152453174483,11.8,0.023,0.0023,-1.661e-05,Ho,CSPII,Ia,0.985,1,1,0.0254035847128371,0.00962380153090826,0.0
SN2013fz,0.0205933,0.0205517,1.0774323249435203,0.006973330343225186,16.319264475088882,0.04455634158457928,9.7,0.0119,0.0012,4.136e-06,Ho,CSPII,Ia,0.98,0,1,0.0019940536638589634,0.005507848467840941,0.0
SN2013gv,0.0340967,0.0334585,0.8362605983446353,0.0067199528905741174,17.604357127587736,0.05067871549513312,1.3,0.1434,0.0143,-1.044e-06,Ho,CSPII,Ia,0.973,1,1,-0.02218354960319857,0.012473484736287354,0.0
SN2013gy,0.0140133,0.0135587,0.8921636782718059,0.003428808884848672,15.326264769350802,0.034919322721342065,-8.0,0.0485,0.0049,6.803e-06,Ho,CSPII,Ia,0.976,0,1,0.019917140873083383,0.008309127251795969,0.0
SN2013hn,0.01513,0.0160268,0.8188470100981584,0.022127047126842186,15.651786888787969,0.10380508038651641,11.1,0.0529,0.0053,-4.035e-05,Ho,CSPII,Ia,0.98,0,1,-0.07684573913064519,0.06689202490479933,0.0
SN2014I,0.0299933,0.0302041,0.8969109826133322,0.0036455857371071503,16.94956442793309,0.027219177161836045,-2.8,0.0207,0.0021,2.623e-06,Ho,CSPII,Ia,0.98,1,1,-0.007188652921680472,0.008023649653411326,0.0
SN2014Z,0.02126,0.0209246,0.9354897038922466,0.033322910065857136,16.476568627664236,0.05502332164066848,7.3,0.0246,0.0025,3.805e-05,Ho,CSPII,Ia,0.983,0,1,-0.010413540712542968,0.05958686496259137,0.0
SN2014ba,0.0058367,0.0049902,0.2705505139207083,0.021306252637470675,14.083317201567064,0.05578986447681589,4.7,0.0102,0.001,-1.498e-05,Ho,CSPII,Ia-91bg,0.954,0,1,0.9199120799713807,0.08897711034507078,0.0
SN2014dl,0.0329433,0.0331433,1.2157639321593006,0.012637904334567756,16.82700789500787,0.06638993559302302,0.1,0.0547,0.0055,-1.412e-07,Ho,CSPII,Ia-91T,0.694,1,0,0.01662255824135528,0.00862316142599746,0.0
