name,zhel,zcmb,st,est,Mmax,eMmax,t0,EBVmw,eEBVmw,covMs,dist,sample,subtype,quality,cosmo,phys,BV,eBV,covBV_M
LSQ14bbv,0.0587593,0.058439,1.039,0.011,17.862,0.005,-4.1,0.0464,0.0046,7.94e-06,Ho,CSPII,Ia,0.986,0,0,0.008,0.006,0.000000
LSQ14bjj,0.0811438,0.0819882,0.996,0.008,18.648,0.007,-5.9,0.0408,0.0041,1.546e-07,Ho,CSPII,Ia,0.986,1,0,-0.082,0.009,0.000000
LSQ14fms,0.077946,0.0773231,0.849,0.015,18.787,0.011,-4.4,0.0143,0.0014,1.715e-05,Ho,CSPII,Ia,0.986,1,0,0.165,0.016,0.000000
LSQ14foj,0.0460667,0.0451705,1.015,0.01,17.333,0.011,-12.4,0.0121,0.0012,2.259e-05,Ho,CSPII,Ia,0.986,1,0,0.047,0.011,0.000000
LSQ14fom,0.05626,0.0553279,0.947,0.009,17.828,0.009,-9.5,0.0184,0.0018,1.109e-05,Ho,CSPII,Ia,0.978,1,0,0.021,0.011,0.000000
LSQ14gfb,0.0527067,0.0527873,0.605,0.035,18.856,0.025,-2.7,0.0159,0.0016,-0.0002031,Ho,CSPII,Ia,0.985,1,0,0.526,0.064,0.000000
LSQ14gfn,0.1216158,0.1210925,0.991,0.023,19.428,0.014,-5.4,0.0332,0.0033,-4.097e-05,Ho,CSPII,Ia,0.967,1,0,0.037,0.021,0.000000
LSQ14ghv,0.0666539,0.0662566,0.949,0.009,18.473,0.008,-5.0,0.0088,0.0009,1.512e-06,Ho,CSPII,Ia,0.981,1,0,-0.022,0.011,0.000000
LSQ14gov,0.089538,0.0892443,1.141,0.008,18.718,0.006,-11.4,0.0357,0.0036,1.431e-05,Ho,CSPII,Ia,0.985,1,0,-0.105,0.009,0.000000
LSQ14ie,0.089538,0.0905466,1.155,0.01,18.875,0.008,-10.4,0.0717,0.0072,2.753e-05,Ho,CSPII,Ia,0.983,1,0,-0.023,0.011,0.000000
LSQ14ip,0.0612967,0.0624196,0.522,0.009,19.042,0.013,-9.7,0.0373,0.0037,4.352e-05,Ho,CSPII,Ia,0.987,1,0,0.345,0.021,0.000000
LSQ14jp,0.04539,0.0464896,0.677,0.007,17.993,0.007,-10.0,0.053,0.0053,7.631e-06,Ho,CSPII,Ia,0.986,1,0,0.123,0.009,0.000000
LSQ14mc,0.05662,0.0575661,0.964,0.004,17.948,0.005,-7.9,0.0207,0.0021,3.729e-06,Ho,CSPII,Ia,0.986,1,0,-0.029,0.006,0.000000
LSQ14q,0.0669503,0.067871,0.958,0.004,18.335,0.006,-14.0,0.0198,0.002,5.765e-06,Ho,CSPII,Ia,0.987,1,0,-0.047,0.008,0.000000
LSQ14wp,0.0694519,0.0706148,1.138,0.011,18.107,0.007,-9.9,0.0207,0.0021,2.09e-05,Ho,CSPII,Ia-91T,0.984,1,0,-0.050,0.010,0.000000
LSQ14xi,0.0507429,0.0519014,1.142,0.011,17.991,0.008,-10.8,0.0368,0.0037,1.234e-05,Ho,CSPII,Ia,0.986,1,0,0.212,0.011,0.000000
LSQ15aae,0.0515643,0.0517701,1.226,0.008,17.773,0.006,-8.4,0.0616,0.0062,1.834e-05,Ho,CSPII,Ia-91T,0.982,1,0,0.079,0.008,0.000000
LSQ15agh,0.0599585,0.0610193,1.14,0.008,17.885,0.006,-7.8,0.0216,0.0022,1.275e-05,Ho,CSPII,Ia,0.987,1,0,-0.036,0.008,0.000000
