     name      zhel      zcmb f    st   est   Mmax  eMmax    t0  EBVmw eEBVmw  covMs     dist
ASAS14my   0.0205000 0.0217279 r 0.921 0.005 15.625 0.007  -9.5 0.0316 0.0032  8.350e-06    Ho
ASAS14my   0.0205000 0.0217279 u 0.921 0.005 16.001 0.009  -6.7 0.0316 0.0032  1.232e-05    Ho
ASAS15aj   0.0109133 0.0120218 B 0.830 0.007 14.677 0.007  -2.6 0.0656 0.0066  1.946e-06    Ho
ASAS15aj   0.0109133 0.0120218 H 0.830 0.007 14.876 0.028   2.2 0.0656 0.0066  3.010e-05    Ho
ASAS15aj   0.0109133 0.0120218 J 0.830 0.007 14.781 0.030   1.1 0.0656 0.0066 -7.332e-07    Ho
ASAS15aj   0.0109133 0.0120218 V 0.830 0.007 14.582 0.006  -3.9 0.0656 0.0066  1.497e-05    Ho
ASAS15aj   0.0109133 0.0120218 Y 0.830 0.007 14.783 0.035   1.8 0.0656 0.0066 -3.267e-06    Ho
ASAS15aj   0.0109133 0.0120218 g 0.830 0.007 14.593 0.006  -2.8 0.0656 0.0066  2.619e-06    Ho
ASAS15aj   0.0109133 0.0120218 i 0.830 0.007 14.915 0.013   0.0 0.0656 0.0066  4.278e-06    Ho
ASAS15aj   0.0109133 0.0120218 r 0.830 0.007 14.545 0.007  -3.8 0.0656 0.0066  3.190e-06    Ho
ASAS15aj   0.0109133 0.0120218 u 0.830 0.007 15.272 0.010  -1.0 0.0656 0.0066 -6.388e-06    Ho
ASAS15al   0.0337766 0.0337612 B 1.079 0.027 16.888 0.047   0.4 0.0293 0.0029 -3.818e-05    Ho
ASAS15al   0.0337766 0.0337612 H 1.079 0.027 17.668 0.050  23.7 0.0293 0.0029  4.441e-05    Ho
ASAS15al   0.0337766 0.0337612 J 1.079 0.027 17.572 0.061  24.2 0.0293 0.0029 -4.102e-05    Ho
ASAS15al   0.0337766 0.0337612 V 1.079 0.027 16.845 0.035  -0.9 0.0293 0.0029 -2.369e-05    Ho
ASAS15al   0.0337766 0.0337612 Y 1.079 0.027 17.660 0.032  24.0 0.0293 0.0029  4.597e-05    Ho
ASAS15al   0.0337766 0.0337612 g 1.079 0.027 16.841 0.025   0.1 0.0293 0.0029 -2.106e-05    Ho
ASAS15al   0.0337766 0.0337612 i 1.079 0.027 17.551 0.059   3.7 0.0293 0.0029 -8.963e-06    Ho
ASAS15al   0.0337766 0.0337612 r 1.079 0.027 16.921 0.026  -1.4 0.0293 0.0029  2.049e-05    Ho
ASAS15al   0.0337766 0.0337612 u 1.079 0.027 17.327 0.072   2.0 0.0293 0.0029 -9.524e-05    Ho
ASAS15as   0.0286801 0.0297845 B 1.077 0.014 16.202 0.006  -1.2 0.0398 0.0040 -1.007e-05    Ho
ASAS15as   0.0286801 0.0297845 H 1.077 0.014 17.191 0.036  16.0 0.0398 0.0040 -3.904e-06    Ho
ASAS15as   0.0286801 0.0297845 J 1.077 0.014 16.967 0.114  29.4 0.0398 0.0040  4.962e-05    Ho
ASAS15as   0.0286801 0.0297845 V 1.077 0.014 16.184 0.005  -2.6 0.0398 0.0040 -2.110e-05    Ho
ASAS15as   0.0286801 0.0297845 Y 1.077 0.014 17.161 0.046  16.3 0.0398 0.0040  2.109e-05    Ho
ASAS15as   0.0286801 0.0297845 g 1.077 0.014 16.159 0.005  -1.5 0.0398 0.0040 -1.475e-06    Ho
ASAS15as   0.0286801 0.0297845 i 1.077 0.014 17.045 0.010   2.0 0.0398 0.0040 -2.035e-06    Ho
ASAS15as   0.0286801 0.0297845 r 1.077 0.014 16.299 0.006  -3.0 0.0398 0.0040  2.184e-05    Ho
ASAS15as   0.0286801 0.0297845 u 1.077 0.014 16.705 0.010   0.3 0.0398 0.0040 -4.612e-05    Ho
ASAS15ba   0.0231167 0.0239771 B 0.965 0.004 15.979 0.005  -2.0 0.0223 0.0022  7.071e-07    Ho
ASAS15ba   0.0231167 0.0239771 H 0.965 0.004 16.814 0.041   9.4 0.0223 0.0022  6.377e-06    Ho
ASAS15ba   0.0231167 0.0239771 J 0.965 0.004 16.433 0.074   9.0 0.0223 0.0022 -4.793e-06    Ho
ASAS15ba   0.0231167 0.0239771 V 0.965 0.004 15.979 0.004  -3.2 0.0223 0.0022  1.839e-06    Ho
ASAS15ba   0.0231167 0.0239771 Y 0.965 0.004 16.583 0.069   9.6 0.0223 0.0022  9.547e-07    Ho
ASAS15ba   0.0231167 0.0239771 g 0.965 0.004 15.946 0.004  -2.3 0.0223 0.0022  9.583e-07    Ho
ASAS15ba   0.0231167 0.0239771 i 0.965 0.004 16.657 0.008   1.3 0.0223 0.0022 -4.678e-06    Ho
ASAS15ba   0.0231167 0.0239771 r 0.965 0.004 16.063 0.005  -3.4 0.0223 0.0022 -3.770e-07    Ho
ASAS15ba   0.0231167 0.0239771 u 0.965 0.004 16.547 0.007  -0.5 0.0223 0.0022 -5.792e-06    Ho
ASAS15be   0.0218833 0.0213892 B 1.140 0.005 15.628 0.004  -7.2 0.0167 0.0017 -2.388e-06    Ho
ASAS15be   0.0218833 0.0213892 H 1.140 0.005 16.575 0.015   4.1 0.0167 0.0017  4.425e-06    Ho
ASAS15be   0.0218833 0.0213892 J 1.140 0.005 16.253 0.013   4.7 0.0167 0.0017  8.939e-06    Ho
ASAS15be   0.0218833 0.0213892 V 1.140 0.005 15.620 0.005  -8.5 0.0167 0.0017  1.691e-05    Ho
ASAS15be   0.0218833 0.0213892 Y 1.140 0.005 16.421 0.021   4.5 0.0167 0.0017  1.929e-05    Ho
ASAS15be   0.0218833 0.0213892 g 1.140 0.005 15.604 0.004  -7.5 0.0167 0.0017  4.445e-07    Ho
ASAS15be   0.0218833 0.0213892 i 1.140 0.005 16.409 0.008  -4.2 0.0167 0.0017  9.793e-06    Ho
ASAS15be   0.0218833 0.0213892 r 1.140 0.005 15.717 0.005  -9.4 0.0167 0.0017  8.179e-06    Ho
ASAS15be   0.0218833 0.0213892 u 1.140 0.005 16.166 0.006  -5.6 0.0167 0.0017 -2.643e-06    Ho
ASAS15bm   0.0207856 0.0214395 B 0.989 0.005 15.749 0.007  -7.6 0.0690 0.0069  9.619e-06    Ho
ASAS15bm   0.0207856 0.0214395 H 0.989 0.005 16.333 0.019  -0.2 0.0690 0.0069  5.783e-06    Ho
ASAS15bm   0.0207856 0.0214395 J 0.989 0.005 16.038 0.014  -0.4 0.0690 0.0069  1.952e-06    Ho
ASAS15bm   0.0207856 0.0214395 V 0.989 0.005 15.630 0.007  -8.8 0.0690 0.0069  1.390e-05    Ho
ASAS15bm   0.0207856 0.0214395 Y 0.989 0.005 16.196 0.024   0.0 0.0690 0.0069  1.258e-06    Ho
ASAS15bm   0.0207856 0.0214395 g 0.989 0.005 15.690 0.006  -7.9 0.0690 0.0069  7.983e-06    Ho
ASAS15bm   0.0207856 0.0214395 i 0.989 0.005 16.257 0.012  -4.2 0.0690 0.0069  1.676e-06    Ho
ASAS15bm   0.0207856 0.0214395 r 0.989 0.005 15.655 0.007  -9.1 0.0690 0.0069  5.310e-06    Ho
ASAS15bm   0.0207856 0.0214395 u 0.989 0.005 16.431 0.010  -6.1 0.0690 0.0069  8.620e-06    Ho
ASAS15cb   0.0400100 0.0411361 B 1.088 0.052 17.059 0.064   2.0 0.0279 0.0028 -3.234e-04    Ho
ASAS15cb   0.0400100 0.0411361 H 1.088 0.052 17.392 0.067   7.4 0.0279 0.0028  4.595e-04    Ho
ASAS15cb   0.0400100 0.0411361 J 1.088 0.052 17.408 0.105   6.8 0.0279 0.0028 -8.488e-05    Ho
ASAS15cb   0.0400100 0.0411361 V 1.088 0.052 16.957 0.047   0.6 0.0279 0.0028 -3.063e-06    Ho
